 #calculated the component:  3  1  2
 #tolerance:    2.000000E-03
 #broadening:    3.674931E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.336595E+02eV    4.911895E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050001  -3.726262E-02  -1.560853E+00
       0.100002  -1.175374E-02  -4.923396E-01
       0.150003   3.286011E-02   1.376441E+00
       0.200004   1.120909E-01   4.695251E+00
       0.250005   2.570389E-01   1.076682E+01
       0.300006   5.320450E-01   2.228625E+01
       0.350006   1.062675E+00   4.451323E+01
       0.400007   1.979744E+00   8.292731E+01
       0.450008   2.713297E+00   1.136543E+02
       0.500009   1.419746E+00   5.947018E+01
       0.550010  -1.552109E+00  -6.501457E+01
       0.600011  -4.203799E+00  -1.760883E+02
       0.650012  -3.678272E+00  -1.540751E+02
       0.700013  -5.316388E-01  -2.226923E+01
       0.750014   1.213050E+00   5.081213E+01
       0.800015  -9.565686E-01  -4.006865E+01
       0.850016  -4.986811E+00  -2.088871E+02
       0.900017  -6.826300E+00  -2.859394E+02
       0.950017  -5.435838E+00  -2.276958E+02
       1.000018  -2.771522E+00  -1.160933E+02
       1.050019  -1.495317E+00  -6.263568E+01
       1.100020  -3.330392E+00  -1.395031E+02
       1.150021  -6.262181E+00  -2.623096E+02
       1.200022  -7.337826E+00  -3.073661E+02
       1.250023  -7.228430E+00  -3.027838E+02
       1.300024  -7.526579E+00  -3.152726E+02
       1.350025  -8.333944E+00  -3.490914E+02
       1.400026  -9.561014E+00  -4.004908E+02
       1.450027  -1.093206E+01  -4.579209E+02
       1.500028  -1.129748E+01  -4.732277E+02
       1.550028  -1.049204E+01  -4.394895E+02
       1.600029  -9.319407E+00  -3.903704E+02
       1.650030  -7.992794E+00  -3.348014E+02
       1.700031  -6.816227E+00  -2.855175E+02
       1.750032  -6.082864E+00  -2.547984E+02
       1.800033  -5.503987E+00  -2.305505E+02
       1.850034  -4.939550E+00  -2.069074E+02
       1.900035  -4.190132E+00  -1.755158E+02
       1.950036  -3.063820E+00  -1.283370E+02
       2.000037  -2.123013E+00  -8.892856E+01
       2.050038  -1.307593E+00  -5.477232E+01
       2.100039  -3.773664E-01  -1.580709E+01
       2.150039  -4.335754E-02  -1.816156E+00
       2.200040  -3.294630E-01  -1.380052E+01
       2.250041  -1.420966E+00  -5.952127E+01
       2.300042  -2.517118E+00  -1.054368E+02
       2.350043  -3.030269E+00  -1.269316E+02
       2.400044  -2.708608E+00  -1.134579E+02
       2.450045  -1.859984E+00  -7.791082E+01
       2.500046  -9.713664E-01  -4.068850E+01
       2.550047  -3.734105E-01  -1.564138E+01
       2.600048  -2.279496E-01  -9.548331E+00
       2.650049  -2.132544E-01  -8.932779E+00
       2.700050   7.043175E-01   2.950238E+01
       2.750050   3.275686E+00   1.372116E+02
       2.800051   6.921647E+00   2.899333E+02
       2.850052   9.876713E+00   4.137148E+02
       2.900053   1.071315E+01   4.487514E+02
       2.950054   9.417741E+00   3.944894E+02
       3.000055   8.005469E+00   3.353323E+02
