 #calculated the component:  3  1  2
 #tolerance:    2.000000E-03
 #broadening:    3.674931E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.336595E+02eV    4.911895E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050001  -1.332916E+00  -5.583308E+01
       0.100002  -1.356411E+00  -5.681723E+01
       0.150003  -1.371587E+00  -5.745291E+01
       0.200004  -1.374861E+00  -5.759004E+01
       0.250005  -1.364997E+00  -5.717686E+01
       0.300006  -1.356804E+00  -5.683367E+01
       0.350006  -1.440022E+00  -6.031949E+01
       0.400007  -1.986600E+00  -8.321449E+01
       0.450008  -3.811401E+00  -1.596516E+02
       0.500009  -6.286256E+00  -2.633181E+02
       0.550010  -7.002997E+00  -2.933409E+02
       0.600011  -5.093756E+00  -2.133667E+02
       0.650012  -1.770595E+00  -7.416649E+01
       0.700013  -1.268696E+00  -5.314300E+01
       0.750014  -4.183954E+00  -1.752571E+02
       0.800015  -7.479608E+00  -3.133051E+02
       0.850016  -7.209944E+00  -3.020094E+02
       0.900017  -4.054576E+00  -1.698377E+02
       0.950017  -1.293464E+00  -5.418050E+01
       1.000018  -1.180690E+00  -4.945664E+01
       1.050019  -3.623442E+00  -1.517784E+02
       1.100020  -6.082711E+00  -2.547920E+02
       1.150021  -5.760694E+00  -2.413034E+02
       1.200022  -3.973791E+00  -1.664538E+02
       1.250023  -3.111593E+00  -1.303381E+02
       1.300024  -2.995232E+00  -1.254640E+02
       1.350025  -2.779742E+00  -1.164376E+02
       1.400026  -2.233954E+00  -9.357565E+01
       1.450027  -7.024700E-01  -2.942500E+01
       1.500028   1.686733E+00   7.065371E+01
       1.550028   3.716584E+00   1.556799E+02
       1.600029   5.073712E+00   2.125272E+02
       1.650030   5.903130E+00   2.472697E+02
       1.700031   6.147406E+00   2.575019E+02
       1.750032   6.243668E+00   2.615341E+02
       1.800033   6.457456E+00   2.704893E+02
       1.850034   6.780280E+00   2.840117E+02
       1.900035   7.235675E+00   3.030873E+02
       1.950036   7.408915E+00   3.103439E+02
       2.000037   7.117927E+00   2.981550E+02
       2.050038   6.865552E+00   2.875836E+02
       2.100039   6.155466E+00   2.578396E+02
       2.150039   5.078602E+00   2.127320E+02
       2.200040   3.968722E+00   1.662414E+02
       2.250041   3.406841E+00   1.427054E+02
       2.300042   3.878660E+00   1.624689E+02
       2.350043   4.994915E+00   2.092265E+02
       2.400044   6.222725E+00   2.606569E+02
       2.450045   6.985901E+00   2.926247E+02
       2.500046   7.246173E+00   3.035270E+02
       2.550047   7.203411E+00   3.017358E+02
       2.600048   7.279333E+00   3.049160E+02
       2.650049   8.123213E+00   3.402644E+02
       2.700050   9.742392E+00   4.080883E+02
       2.750050   1.108645E+01   4.643883E+02
       2.800051   1.059846E+01   4.439473E+02
       2.850052   7.928527E+00   3.321094E+02
       2.900053   4.173737E+00   1.748291E+02
       2.950054   1.391847E+00   5.830153E+01
       3.000055   6.780548E-01   2.840229E+01
       3.050056   2.474153E-01   1.036371E+01
       3.100057  -1.002216E+00  -4.198073E+01
       3.150058  -2.528815E+00  -1.059268E+02
       3.200059  -4.388814E+00  -1.838382E+02
       3.250060  -6.553592E+00  -2.745162E+02
       3.300061  -7.902662E+00  -3.310259E+02
       3.350061  -8.086454E+00  -3.387246E+02
       3.400062  -6.810166E+00  -2.852636E+02
       3.450063  -4.255196E+00  -1.782412E+02
       3.500064  -1.782702E+00  -7.467364E+01
       3.550065  -2.699523E-01  -1.130773E+01
       3.600066   6.380636E-01   2.672714E+01
       3.650067   1.238243E+00   5.186742E+01
       3.700068   1.278064E+00   5.353541E+01
       3.750069   1.135591E+00   4.756752E+01
