 #calculated the component:  1  1  of dielectric function
 #broadening:    0.000000E+00    3.674931E-03
 #scissors shift:    0.000000E+00
 #energy window:    1.336595E+02eV    4.911895E+00Ha
 
 # Energy(eV)         Im(eps(w))
    5.000092E-02    5.154023E-03
    1.000018E-01    1.034264E-02
    1.500028E-01    1.560149E-02
    2.000037E-01    2.096834E-02
    2.500046E-01    2.648441E-02
    3.000055E-01    3.219587E-02
    3.500064E-01    3.815580E-02
    4.000073E-01    4.442680E-02
    4.500083E-01    5.108450E-02
    5.000092E-01    5.822253E-02
    5.500101E-01    6.595977E-02
    6.000110E-01    7.445115E-02
    6.500119E-01    8.390445E-02
    7.000128E-01    9.460729E-02
    7.500138E-01    1.069721E-01
    8.000147E-01    1.216153E-01
    8.500156E-01    1.395016E-01
    9.000165E-01    1.622259E-01
    9.500174E-01    1.925879E-01
    1.000018E+00    2.358095E-01
    1.050019E+00    3.019753E-01
    1.100020E+00    4.086361E-01
    1.150021E+00    5.647562E-01
    1.200022E+00    6.938791E-01
    1.250023E+00    7.004538E-01
    1.300024E+00    6.485388E-01
    1.350025E+00    6.543157E-01
    1.400026E+00    7.710426E-01
    1.450027E+00    1.032113E+00
    1.500028E+00    1.413278E+00
    1.550028E+00    1.636016E+00
    1.600029E+00    1.585211E+00
    1.650030E+00    1.534245E+00
    1.700031E+00    1.590918E+00
    1.750032E+00    1.632873E+00
    1.800033E+00    1.607712E+00
    1.850034E+00    1.527623E+00
    1.900035E+00    1.564996E+00
    1.950036E+00    1.753070E+00
    2.000037E+00    1.908146E+00
    2.050038E+00    2.059809E+00
    2.100039E+00    2.192365E+00
    2.150039E+00    2.295825E+00
    2.200040E+00    2.521929E+00
    2.250041E+00    2.843771E+00
    2.300042E+00    3.045866E+00
    2.350043E+00    2.947420E+00
    2.400044E+00    2.890834E+00
    2.450045E+00    2.972897E+00
    2.500046E+00    3.138057E+00
    2.550047E+00    3.411099E+00
    2.600048E+00    3.854192E+00
    2.650049E+00    4.504150E+00
    2.700050E+00    5.058326E+00
    2.750050E+00    5.274681E+00
    2.800051E+00    5.209979E+00
    2.850052E+00    5.048885E+00
    2.900053E+00    4.779455E+00
    2.950054E+00    4.522708E+00
    3.000055E+00    4.406304E+00
    3.050056E+00    4.462544E+00
    3.100057E+00    4.541617E+00
    3.150058E+00    4.676500E+00
    3.200059E+00    4.959060E+00
    3.250060E+00    5.251421E+00
    3.300061E+00    5.590573E+00
    3.350061E+00    5.922284E+00
    3.400062E+00    5.991960E+00
    3.450063E+00    5.716445E+00
    3.500064E+00    5.236520E+00
    3.550065E+00    4.831215E+00
    3.600066E+00    4.608970E+00
    3.650067E+00    4.478507E+00
    3.700068E+00    4.315813E+00
    3.750069E+00    4.240848E+00
    3.800070E+00    4.308970E+00
    3.850071E+00    4.338991E+00
    3.900072E+00    4.291159E+00
    3.950073E+00    4.305326E+00
    4.000073E+00    4.400074E+00
    4.050074E+00    4.542754E+00
    4.100075E+00    4.776180E+00
    4.150076E+00    5.116149E+00
    4.200077E+00    5.433249E+00
    4.250078E+00    5.614700E+00
    4.300079E+00    5.759408E+00
    4.350080E+00    5.989236E+00
    4.400081E+00    6.213119E+00
    4.450082E+00    6.474749E+00
    4.500083E+00    6.759441E+00
    4.550084E+00    6.981099E+00
    4.600084E+00    7.220422E+00
    4.650085E+00    7.428879E+00
    4.700086E+00    7.606265E+00
    4.750087E+00    7.834012E+00
    4.800088E+00    8.001692E+00
    4.850089E+00    8.149005E+00
    4.900090E+00    8.335815E+00
    4.950091E+00    8.355320E+00
    5.000092E+00    8.272069E+00
    5.050093E+00    8.228723E+00
    5.100094E+00    8.120604E+00
    5.150095E+00    8.009161E+00
    5.200095E+00    7.949509E+00
    5.250096E+00    7.865037E+00
    5.300097E+00    7.816704E+00
    5.350098E+00    7.781781E+00
    5.400099E+00    7.644263E+00
    5.450100E+00    7.527547E+00
    5.500101E+00    7.626244E+00
    5.550102E+00    7.883046E+00
    5.600103E+00    8.114385E+00
    5.650104E+00    8.287223E+00
    5.700105E+00    8.390055E+00
    5.750106E+00    8.405213E+00
    5.800106E+00    8.323782E+00
    5.850107E+00    8.164321E+00
    5.900108E+00    8.060871E+00
 
 
 # Energy(eV)         Re(eps(w))
    5.000092E-02    7.706075E+00
    1.000018E-01    7.709912E+00
    1.500028E-01    7.716335E+00
    2.000037E-01    7.725386E+00
    2.500046E-01    7.737127E+00
    3.000055E-01    7.751640E+00
    3.500064E-01    7.769029E+00
    4.000073E-01    7.789427E+00
    4.500083E-01    7.812997E+00
    5.000092E-01    7.839940E+00
    5.500101E-01    7.870504E+00
    6.000110E-01    7.904995E+00
    6.500119E-01    7.943794E+00
    7.000128E-01    7.987379E+00
    7.500138E-01    8.036357E+00
    8.000147E-01    8.091506E+00
    8.500156E-01    8.153832E+00
    9.000165E-01    8.224627E+00
    9.500174E-01    8.305457E+00
    1.000018E+00    8.397789E+00
    1.050019E+00    8.500947E+00
    1.100020E+00    8.603410E+00
    1.150021E+00    8.659386E+00
    1.200022E+00    8.615725E+00
    1.250023E+00    8.564880E+00
    1.300024E+00    8.624986E+00
    1.350025E+00    8.792168E+00
    1.400026E+00    9.001178E+00
    1.450027E+00    9.178892E+00
    1.500028E+00    9.168230E+00
    1.550028E+00    8.903411E+00
    1.600029E+00    8.716576E+00
    1.650030E+00    8.729345E+00
    1.700031E+00    8.752169E+00
    1.750032E+00    8.724841E+00
    1.800033E+00    8.697457E+00
    1.850034E+00    8.788591E+00
    1.900035E+00    9.000494E+00
    1.950036E+00    9.141640E+00
    2.000037E+00    9.185286E+00
    2.050038E+00    9.239231E+00
    2.100039E+00    9.250961E+00
    2.150039E+00    9.335838E+00
    2.200040E+00    9.442433E+00
    2.250041E+00    9.418762E+00
    2.300042E+00    9.168354E+00
    2.350043E+00    9.023129E+00
    2.400044E+00    9.137772E+00
    2.450045E+00    9.304273E+00
    2.500046E+00    9.488747E+00
    2.550047E+00    9.681823E+00
    2.600048E+00    9.851063E+00
    2.650049E+00    9.786286E+00
    2.700050E+00    9.332970E+00
    2.750050E+00    8.725350E+00
    2.800051E+00    8.226113E+00
    2.850052E+00    7.869197E+00
    2.900053E+00    7.650547E+00
    2.950054E+00    7.649338E+00
    3.000055E+00    7.789393E+00
    3.050056E+00    7.918533E+00
    3.100057E+00    7.976558E+00
    3.150058E+00    8.093176E+00
    3.200059E+00    8.131537E+00
    3.250060E+00    8.045571E+00
    3.300061E+00    7.877586E+00
    3.350061E+00    7.471615E+00
    3.400062E+00    6.869171E+00
    3.450063E+00    6.327589E+00
    3.500064E+00    6.072511E+00
    3.550065E+00    6.116413E+00
    3.600066E+00    6.255909E+00
    3.650067E+00    6.353885E+00
    3.700068E+00    6.471926E+00
    3.750069E+00    6.699776E+00
    3.800070E+00    6.864234E+00
    3.850071E+00    6.920499E+00
    3.900072E+00    7.036461E+00
    3.950073E+00    7.241995E+00
    4.000073E+00    7.445958E+00
    4.050074E+00    7.649138E+00
    4.100075E+00    7.852671E+00
    4.150076E+00    7.958720E+00
    4.200077E+00    7.902825E+00
    4.250078E+00    7.809124E+00
    4.300079E+00    7.813409E+00
    4.350080E+00    7.822514E+00
    4.400081E+00    7.791099E+00
    4.450082E+00    7.761607E+00
    4.500083E+00    7.646955E+00
    4.550084E+00    7.504015E+00
    4.600084E+00    7.363079E+00
    4.650085E+00    7.163093E+00
    4.700086E+00    6.998043E+00
    4.750087E+00    6.795516E+00
    4.800088E+00    6.527163E+00
    4.850089E+00    6.296028E+00
    4.900090E+00    5.972632E+00
    4.950091E+00    5.565873E+00
    5.000092E+00    5.288899E+00
    5.050093E+00    5.048658E+00
    5.100094E+00    4.817340E+00
    5.150095E+00    4.682332E+00
    5.200095E+00    4.559989E+00
    5.250096E+00    4.443731E+00
    5.300097E+00    4.376472E+00
    5.350098E+00    4.257556E+00
    5.400099E+00    4.172425E+00
