 #calculated the component:  1  2  3
 #tolerance:    2.000000E-03
 #broadening:    3.675000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    8.462793E+01eV    3.110019E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -1.503112E+03  -6.296220E+04
       0.020000  -1.629906E+03  -6.827336E+04
       0.030000  -1.744222E+03  -7.306178E+04
       0.040000  -1.834629E+03  -7.684877E+04
       0.050000  -1.888456E+03  -7.910344E+04
       0.060000  -1.893886E+03  -7.933092E+04
       0.070000  -1.842710E+03  -7.718727E+04
       0.080000  -1.732848E+03  -7.258538E+04
       0.090000  -1.569647E+03  -6.574921E+04
       0.100000  -1.365358E+03  -5.719199E+04
       0.110000  -1.136989E+03  -4.762609E+04
       0.120000  -9.032932E+02  -3.783706E+04
       0.130000  -6.817417E+02  -2.855673E+04
       0.140000  -4.860751E+02  -2.036067E+04
       0.150000  -3.248070E+02  -1.360548E+04
       0.160000  -2.008829E+02  -8.414562E+03
       0.170000  -1.124629E+02  -4.710834E+03
       0.180000  -5.447288E+01  -2.281755E+03
       0.190000  -2.036043E+01  -8.528555E+02
       0.200000  -3.548349E+00  -1.486329E+02
       0.210000   1.662640E+00   6.964452E+01
       0.220000  -2.750750E-01  -1.152231E+01
       0.230000  -6.153559E+00  -2.577597E+02
       0.240000  -1.381618E+01  -5.787307E+02
       0.250000  -2.190692E+01  -9.176351E+02
       0.260000  -2.963616E+01  -1.241396E+03
       0.270000  -3.659217E+01  -1.532769E+03
       0.280000  -4.260269E+01  -1.784537E+03
       0.290000  -4.763908E+01  -1.995501E+03
       0.300000  -5.175326E+01  -2.167836E+03
       0.310000  -5.503769E+01  -2.305413E+03
       0.320000  -5.760110E+01  -2.412789E+03
       0.330000  -5.955446E+01  -2.494611E+03
       0.340000  -6.100334E+01  -2.555302E+03
       0.350000  -6.204440E+01  -2.598910E+03
       0.360000  -6.276409E+01  -2.629056E+03
       0.370000  -6.323879E+01  -2.648940E+03
       0.380000  -6.353562E+01  -2.661374E+03
       0.390000  -6.371361E+01  -2.668830E+03
       0.400000  -6.382489E+01  -2.673491E+03
       0.410000  -6.391586E+01  -2.677301E+03
       0.420000  -6.402821E+01  -2.682008E+03
       0.430000  -6.419964E+01  -2.689188E+03
       0.440000  -6.446417E+01  -2.700269E+03
       0.450000  -6.485202E+01  -2.716515E+03
       0.460000  -6.538863E+01  -2.738993E+03
       0.470000  -6.609279E+01  -2.768488E+03
       0.480000  -6.697343E+01  -2.805376E+03
       0.490000  -6.802499E+01  -2.849424E+03
       0.500000  -6.922139E+01  -2.899539E+03
       0.510000  -7.050941E+01  -2.953491E+03
       0.520000  -7.180346E+01  -3.007696E+03
       0.530000  -7.298479E+01  -3.057180E+03
       0.540000  -7.390935E+01  -3.095908E+03
       0.550000  -7.442705E+01  -3.117593E+03
       0.560000  -7.441062E+01  -3.116905E+03
       0.570000  -7.378648E+01  -3.090761E+03
       0.580000  -7.255527E+01  -3.039188E+03
       0.590000  -7.079260E+01  -2.965353E+03
       0.600000  -6.862986E+01  -2.874761E+03
       0.610000  -6.622385E+01  -2.773978E+03
       0.620000  -6.372772E+01  -2.669420E+03
       0.630000  -6.127123E+01  -2.566523E+03
       0.640000  -5.895258E+01  -2.469400E+03
       0.650000  -5.683896E+01  -2.380865E+03
       0.660000  -5.497201E+01  -2.302662E+03
       0.670000  -5.337469E+01  -2.235754E+03
       0.680000  -5.205770E+01  -2.180588E+03
       0.690000  -5.102448E+01  -2.137309E+03
       0.700000  -5.027458E+01  -2.105897E+03
       0.710000  -4.980557E+01  -2.086251E+03
       0.720000  -4.961363E+01  -2.078211E+03
       0.730000  -4.969279E+01  -2.081527E+03
       0.740000  -5.003303E+01  -2.095779E+03
       0.750000  -5.061723E+01  -2.120250E+03
       0.760000  -5.141725E+01  -2.153761E+03
       0.770000  -5.238973E+01  -2.194496E+03
       0.780000  -5.347317E+01  -2.239879E+03
       0.790000  -5.458807E+01  -2.286580E+03
       0.800000  -5.564223E+01  -2.330736E+03
       0.810000  -5.654205E+01  -2.368428E+03
       0.820000  -5.720755E+01  -2.396304E+03
       0.830000  -5.758649E+01  -2.412177E+03
       0.840000  -5.766225E+01  -2.415351E+03
       0.850000  -5.745322E+01  -2.406595E+03
       0.860000  -5.700570E+01  -2.387849E+03
       0.870000  -5.638431E+01  -2.361820E+03
       0.880000  -5.566212E+01  -2.331570E+03
       0.890000  -5.491087E+01  -2.300101E+03
       0.900000  -5.419074E+01  -2.269936E+03
       0.910000  -5.354082E+01  -2.242713E+03
       0.920000  -5.297266E+01  -2.218914E+03
       0.930000  -5.246893E+01  -2.197813E+03
       0.940000  -5.198864E+01  -2.177695E+03
       0.950000  -5.147832E+01  -2.156319E+03
       0.960000  -5.088631E+01  -2.131521E+03
       0.970000  -5.017549E+01  -2.101746E+03
       0.980000  -4.932953E+01  -2.066310E+03
       0.990000  -4.834991E+01  -2.025276E+03
       1.000000  -4.724574E+01  -1.979025E+03
       1.010000  -4.602167E+01  -1.927751E+03
       1.020000  -4.467084E+01  -1.871168E+03
