 #calculated the component:  1  2  3
 #tolerance:    2.000000E-03
 #broadening:    1.837465E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.072773E+02eV    3.942368E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -8.324277E+02  -3.486865E+04
       0.020000  -1.026321E+03  -4.299045E+04
       0.030000  -1.263364E+03  -5.291965E+04
       0.040000  -1.534661E+03  -6.428372E+04
       0.050000  -1.805945E+03  -7.564726E+04
       0.060000  -2.007926E+03  -8.410779E+04
       0.070000  -2.053794E+03  -8.602912E+04
       0.080000  -1.893656E+03  -7.932127E+04
       0.090000  -1.555165E+03  -6.514261E+04
       0.100000  -1.116983E+03  -4.678809E+04
       0.110000  -6.550220E+02  -2.743750E+04
       0.120000  -2.230336E+02  -9.342409E+03
       0.130000   1.357764E+02   5.687389E+03
       0.140000   3.819576E+02   1.599940E+04
       0.150000   4.965419E+02   2.079910E+04
       0.160000   4.993265E+02   2.091574E+04
       0.170000   4.366101E+02   1.828868E+04
       0.180000   3.517475E+02   1.473396E+04
       0.190000   2.701964E+02   1.131796E+04
       0.200000   2.018388E+02   8.454605E+03
       0.210000   1.481072E+02   6.203901E+03
       0.220000   1.071329E+02   4.487571E+03
       0.230000   7.628228E+01   3.195305E+03
       0.240000   5.312948E+01   2.225482E+03
       0.250000   3.571803E+01   1.496153E+03
       0.260000   2.255555E+01   9.448045E+02
       0.270000   1.253043E+01   5.248735E+02
       0.280000   4.821083E+00   2.019451E+02
       0.290000  -1.180755E+00  -4.945933E+01
       0.300000  -5.929238E+00  -2.483633E+02
       0.310000  -9.768581E+00  -4.091854E+02
       0.320000  -1.296571E+01  -5.431066E+02
       0.330000  -1.573471E+01  -6.590938E+02
       0.340000  -1.825559E+01  -7.646884E+02
       0.350000  -2.068961E+01  -8.666445E+02
       0.360000  -2.319232E+01  -9.714775E+02
       0.370000  -2.592526E+01  -1.085955E+03
       0.380000  -2.906578E+01  -1.217505E+03
       0.390000  -3.281142E+01  -1.374402E+03
       0.400000  -3.736906E+01  -1.565312E+03
       0.410000  -4.290563E+01  -1.797227E+03
       0.420000  -4.941851E+01  -2.070038E+03
       0.430000  -5.648636E+01  -2.366095E+03
       0.440000  -6.297699E+01  -2.637974E+03
       0.450000  -6.710392E+01  -2.810843E+03
       0.460000  -6.732678E+01  -2.820178E+03
       0.470000  -6.359026E+01  -2.663663E+03
       0.480000  -5.738582E+01  -2.403772E+03
       0.490000  -5.055030E+01  -2.117446E+03
       0.500000  -4.430476E+01  -1.855834E+03
       0.510000  -3.915014E+01  -1.639917E+03
       0.520000  -3.515392E+01  -1.472524E+03
       0.530000  -3.221083E+01  -1.349244E+03
       0.540000  -3.018373E+01  -1.264333E+03
       0.550000  -2.896062E+01  -1.213100E+03
       0.560000  -2.846912E+01  -1.192512E+03
       0.570000  -2.866855E+01  -1.200865E+03
       0.580000  -2.952204E+01  -1.236616E+03
       0.590000  -3.094131E+01  -1.296067E+03
       0.600000  -3.271005E+01  -1.370155E+03
       0.610000  -3.445236E+01  -1.443137E+03
       0.620000  -3.577350E+01  -1.498477E+03
       0.630000  -3.654359E+01  -1.530734E+03
       0.640000  -3.697157E+01  -1.548662E+03
       0.650000  -3.728595E+01  -1.561830E+03
       0.660000  -3.739037E+01  -1.566204E+03
       0.670000  -3.690655E+01  -1.545938E+03
       0.680000  -3.559700E+01  -1.491084E+03
       0.690000  -3.369468E+01  -1.411399E+03
       0.700000  -3.174483E+01  -1.329724E+03
       0.710000  -3.023262E+01  -1.266381E+03
       0.720000  -2.940089E+01  -1.231542E+03
       0.730000  -2.924712E+01  -1.225101E+03
       0.740000  -2.954032E+01  -1.237382E+03
       0.750000  -2.984089E+01  -1.249972E+03
       0.760000  -2.965006E+01  -1.241979E+03
       0.770000  -2.871082E+01  -1.202636E+03
       0.780000  -2.714956E+01  -1.137238E+03
       0.790000  -2.523675E+01  -1.057114E+03
       0.800000  -2.307800E+01  -9.666890E+02
