 #calculated the component:  1  2  3
 #tolerance:    3.674931E-03
 #broadening:    3.674931E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.072773E+02eV    3.942369E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -4.137243E+02  -1.733004E+04
       0.020000  -4.485626E+02  -1.878935E+04
       0.030000  -4.800060E+02  -2.010644E+04
       0.040000  -5.049279E+02  -2.115037E+04
       0.050000  -5.198581E+02  -2.177577E+04
       0.060000  -5.215577E+02  -2.184696E+04
       0.070000  -5.077703E+02  -2.126943E+04
       0.080000  -4.779151E+02  -2.001886E+04
       0.090000  -4.334446E+02  -1.815609E+04
       0.100000  -3.777046E+02  -1.582126E+04
       0.110000  -3.153478E+02  -1.320926E+04
       0.120000  -2.515109E+02  -1.053526E+04
       0.130000  -1.909858E+02  -7.999994E+03
       0.140000  -1.375476E+02  -5.761580E+03
       0.150000  -9.354308E+01  -3.918323E+03
       0.160000  -5.979434E+01  -2.504659E+03
       0.170000  -3.581033E+01  -1.500019E+03
       0.180000  -2.021033E+01  -8.465684E+02
       0.190000  -1.120500E+01  -4.693538E+02
       0.200000  -6.995754E+00  -2.930374E+02
       0.210000  -6.023690E+00  -2.523197E+02
       0.220000  -7.071950E+00  -2.962291E+02
       0.230000  -9.265875E+00  -3.881281E+02
       0.240000  -1.202043E+01  -5.035107E+02
       0.250000  -1.497155E+01  -6.271270E+02
       0.260000  -1.791173E+01  -7.502847E+02
       0.270000  -2.073798E+01  -8.686703E+02
       0.280000  -2.341321E+01  -9.807302E+02
       0.290000  -2.593894E+01  -1.086528E+03
       0.300000  -2.833637E+01  -1.186951E+03
       0.310000  -3.063301E+01  -1.283153E+03
       0.320000  -3.285266E+01  -1.376129E+03
       0.330000  -3.500723E+01  -1.466379E+03
       0.340000  -3.708973E+01  -1.553611E+03
       0.350000  -3.906896E+01  -1.636517E+03
       0.360000  -4.088753E+01  -1.712693E+03
       0.370000  -4.246562E+01  -1.778796E+03
       0.380000  -4.371292E+01  -1.831043E+03
       0.390000  -4.454824E+01  -1.866032E+03
       0.400000  -4.492210E+01  -1.881693E+03
       0.410000  -4.483402E+01  -1.878003E+03
       0.420000  -4.433666E+01  -1.857170E+03
       0.430000  -4.352467E+01  -1.823157E+03
       0.440000  -4.251353E+01  -1.780802E+03
       0.450000  -4.141686E+01  -1.734866E+03
       0.460000  -4.032930E+01  -1.689310E+03
       0.470000  -3.931737E+01  -1.646922E+03
       0.480000  -3.841758E+01  -1.609232E+03
       0.490000  -3.763942E+01  -1.576636E+03
       0.500000  -3.697150E+01  -1.548659E+03
       0.510000  -3.638943E+01  -1.524277E+03
       0.520000  -3.586432E+01  -1.502281E+03
       0.530000  -3.536990E+01  -1.481571E+03
       0.540000  -3.488660E+01  -1.461326E+03
       0.550000  -3.440139E+01  -1.441002E+03
       0.560000  -3.390504E+01  -1.420211E+03
       0.570000  -3.338925E+01  -1.398605E+03
       0.580000  -3.284639E+01  -1.375866E+03
       0.590000  -3.227205E+01  -1.351808E+03
       0.600000  -3.166836E+01  -1.326521E+03
       0.610000  -3.104521E+01  -1.300419E+03
       0.620000  -3.041763E+01  -1.274131E+03
       0.630000  -2.980012E+01  -1.248264E+03
       0.640000  -2.920041E+01  -1.223144E+03
       0.650000  -2.861562E+01  -1.198648E+03
       0.660000  -2.803279E+01  -1.174235E+03
       0.670000  -2.743432E+01  -1.149166E+03
       0.680000  -2.680752E+01  -1.122911E+03
       0.690000  -2.615529E+01  -1.095590E+03
       0.700000  -2.550381E+01  -1.068301E+03
       0.710000  -2.490335E+01  -1.043149E+03
       0.720000  -2.442037E+01  -1.022918E+03
       0.730000  -2.412247E+01  -1.010440E+03
       0.740000  -2.406085E+01  -1.007858E+03
       0.750000  -2.425593E+01  -1.016030E+03
       0.760000  -2.469131E+01  -1.034267E+03
       0.770000  -2.531792E+01  -1.060515E+03
       0.780000  -2.606665E+01  -1.091877E+03
       0.790000  -2.686464E+01  -1.125304E+03
       0.800000  -2.765031E+01  -1.158213E+03
       0.810000  -2.838348E+01  -1.188924E+03
       0.820000  -2.904939E+01  -1.216818E+03
       0.830000  -2.965663E+01  -1.242254E+03
       0.840000  -3.023090E+01  -1.266309E+03
       0.850000  -3.080720E+01  -1.290449E+03
       0.860000  -3.142265E+01  -1.316229E+03
       0.870000  -3.211098E+01  -1.345062E+03
       0.880000  -3.289801E+01  -1.378029E+03
       0.890000  -3.379762E+01  -1.415712E+03
       0.900000  -3.480814E+01  -1.458040E+03
       0.910000  -3.590986E+01  -1.504189E+03
       0.920000  -3.706481E+01  -1.552567E+03
       0.930000  -3.821934E+01  -1.600928E+03
       0.940000  -3.930938E+01  -1.646587E+03
       0.950000  -4.026787E+01  -1.686737E+03
       0.960000  -4.103364E+01  -1.718813E+03
       0.970000  -4.156069E+01  -1.740890E+03
       0.980000  -4.182655E+01  -1.752027E+03
       0.990000  -4.183735E+01  -1.752479E+03
       1.000000  -4.162772E+01  -1.743698E+03
       1.010000  -4.125523E+01  -1.728095E+03
       1.020000  -4.079078E+01  -1.708640E+03
       1.030000  -4.030752E+01  -1.688398E+03
       1.040000  -3.987040E+01  -1.670087E+03
       1.050000  -3.952786E+01  -1.655739E+03
       1.060000  -3.930688E+01  -1.646483E+03
       1.069999  -3.921167E+01  -1.642495E+03
       1.079999  -3.922574E+01  -1.643084E+03
       1.089999  -3.931577E+01  -1.646855E+03
       1.099999  -3.943618E+01  -1.651899E+03
       1.109999  -3.953437E+01  -1.656012E+03
       1.119999  -3.955789E+01  -1.656997E+03
