 #calculated the component:  1  2  3
 #tolerance:    2.000000E-02
 #broadening:    3.675000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    8.462793E+01eV    3.110019E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -1.503137E+03  -6.296326E+04
       0.020000  -1.629932E+03  -6.827443E+04
       0.030000  -1.744247E+03  -7.306286E+04
       0.040000  -1.834655E+03  -7.684986E+04
       0.050000  -1.888482E+03  -7.910454E+04
       0.060000  -1.893913E+03  -7.933204E+04
       0.070000  -1.842738E+03  -7.718841E+04
       0.080000  -1.732876E+03  -7.258655E+04
       0.090000  -1.569676E+03  -6.575042E+04
       0.100000  -1.365388E+03  -5.719323E+04
       0.110000  -1.137020E+03  -4.762737E+04
       0.120000  -9.033248E+02  -3.783838E+04
       0.130000  -6.817743E+02  -2.855809E+04
       0.140000  -4.861086E+02  -2.036207E+04
       0.150000  -3.248414E+02  -1.360692E+04
       0.160000  -2.009181E+02  -8.416038E+03
       0.170000  -1.124989E+02  -4.712343E+03
       0.180000  -5.450961E+01  -2.283293E+03
       0.190000  -2.039784E+01  -8.544227E+02
       0.200000  -3.586431E+00  -1.502281E+02
       0.210000   1.623896E+00   6.802161E+01
       0.220000  -3.144865E-01  -1.317318E+01
       0.230000  -6.193650E+00  -2.594390E+02
       0.240000  -1.385697E+01  -5.804392E+02
       0.250000  -2.194843E+01  -9.193737E+02
       0.260000  -2.967841E+01  -1.243166E+03
       0.270000  -3.663519E+01  -1.534571E+03
       0.280000  -4.264650E+01  -1.786373E+03
       0.290000  -4.768372E+01  -1.997371E+03
       0.300000  -5.179876E+01  -2.169741E+03
       0.310000  -5.508408E+01  -2.307357E+03
       0.320000  -5.764842E+01  -2.414771E+03
       0.330000  -5.960273E+01  -2.496633E+03
       0.340000  -6.105262E+01  -2.557366E+03
       0.350000  -6.209472E+01  -2.601017E+03
       0.360000  -6.281549E+01  -2.631209E+03
       0.370000  -6.329131E+01  -2.651140E+03
       0.380000  -6.358933E+01  -2.663623E+03
       0.390000  -6.376855E+01  -2.671131E+03
       0.400000  -6.388111E+01  -2.675845E+03
       0.410000  -6.397342E+01  -2.679712E+03
       0.420000  -6.408719E+01  -2.684478E+03
       0.430000  -6.426010E+01  -2.691721E+03
       0.440000  -6.452619E+01  -2.702867E+03
       0.450000  -6.491568E+01  -2.719182E+03
       0.460000  -6.545403E+01  -2.741732E+03
       0.470000  -6.616001E+01  -2.771304E+03
       0.480000  -6.704260E+01  -2.808274E+03
       0.490000  -6.809622E+01  -2.852408E+03
       0.500000  -6.929481E+01  -2.902614E+03
       0.510000  -7.058518E+01  -2.956665E+03
       0.520000  -7.188172E+01  -3.010975E+03
       0.530000  -7.306572E+01  -3.060570E+03
       0.540000  -7.399317E+01  -3.099419E+03
       0.550000  -7.451396E+01  -3.121233E+03
       0.560000  -7.450087E+01  -3.120685E+03
       0.570000  -7.388036E+01  -3.094693E+03
       0.580000  -7.265308E+01  -3.043285E+03
       0.590000  -7.089471E+01  -2.969630E+03
       0.600000  -6.873665E+01  -2.879234E+03
       0.610000  -6.633579E+01  -2.778667E+03
       0.620000  -6.384532E+01  -2.674346E+03
       0.630000  -6.139508E+01  -2.571711E+03
       0.640000  -5.908334E+01  -2.474877E+03
       0.650000  -5.697740E+01  -2.386664E+03
       0.660000  -5.511899E+01  -2.308819E+03
       0.670000  -5.353119E+01  -2.242309E+03
       0.680000  -5.222485E+01  -2.187590E+03
       0.690000  -5.120352E+01  -2.144808E+03
       0.700000  -5.046690E+01  -2.113953E+03
       0.710000  -5.001271E+01  -2.094927E+03
       0.720000  -4.983719E+01  -2.087575E+03
       0.730000  -4.993444E+01  -2.091649E+03
       0.740000  -5.029438E+01  -2.106726E+03
       0.750000  -5.089967E+01  -2.132080E+03
       0.760000  -5.172170E+01  -2.166513E+03
       0.770000  -5.271638E+01  -2.208178E+03
       0.780000  -5.382110E+01  -2.254453E+03
       0.790000  -5.495492E+01  -2.301946E+03
       0.800000  -5.602401E+01  -2.346728E+03
       0.810000  -5.693315E+01  -2.384810E+03
       0.820000  -5.760109E+01  -2.412789E+03
       0.830000  -5.797499E+01  -2.428451E+03
       0.840000  -5.803842E+01  -2.431108E+03
       0.850000  -5.781069E+01  -2.421569E+03
       0.860000  -5.733950E+01  -2.401831E+03
       0.870000  -5.669097E+01  -2.374666E+03
       0.880000  -5.593959E+01  -2.343192E+03
       0.890000  -5.515815E+01  -2.310459E+03
       0.900000  -5.440753E+01  -2.279017E+03
       0.910000  -5.372723E+01  -2.250521E+03
       0.920000  -5.312889E+01  -2.225458E+03
       0.930000  -5.259513E+01  -2.203100E+03
       0.940000  -5.208482E+01  -2.181724E+03
       0.950000  -5.154430E+01  -2.159083E+03
       0.960000  -5.092181E+01  -2.133008E+03
       0.970000  -5.018027E+01  -2.101946E+03
       0.980000  -4.930363E+01  -2.065226E+03
       0.990000  -4.829400E+01  -2.022934E+03
       1.000000  -4.716149E+01  -1.975496E+03
       1.010000  -4.591225E+01  -1.923168E+03
       1.020000  -4.454121E+01  -1.865738E+03
       1.030000  -4.303364E+01  -1.802589E+03
       1.040000  -4.137538E+01  -1.733128E+03
       1.050000  -3.956727E+01  -1.657390E+03
       1.060000  -3.763730E+01  -1.576547E+03
       1.069999  -3.564558E+01  -1.493119E+03
