 #calculated the component:  1  2  3
 #tolerance:    2.000000E-03
 #broadening:    3.675000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    8.462793E+01eV    3.110019E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -5.706040E+02  -2.390140E+04
       0.020000  -4.487886E+02  -1.879881E+04
       0.030000  -2.921158E+02  -1.223612E+04
       0.040000  -1.004794E+02  -4.208873E+03
       0.050000   1.217622E+02   5.100364E+03
       0.060000   3.648134E+02   1.528127E+04
       0.070000   6.136853E+02   2.570599E+04
       0.080000   8.500336E+02   3.560612E+04
       0.090000   1.055277E+03   4.420332E+04
       0.100000   1.214030E+03   5.085318E+04
       0.110000   1.316766E+03   5.515657E+04
       0.120000   1.361042E+03   5.701121E+04
       0.130000   1.351251E+03   5.660109E+04
       0.140000   1.297175E+03   5.433595E+04
       0.150000   1.211767E+03   5.075839E+04
       0.160000   1.108655E+03   4.643922E+04
       0.170000   9.999382E+02   4.188531E+04
       0.180000   8.947830E+02   3.748058E+04
       0.190000   7.989859E+02   3.346784E+04
       0.200000   7.153376E+02   2.996399E+04
       0.210000   6.444071E+02   2.699286E+04
       0.220000   5.853862E+02   2.452060E+04
       0.230000   5.367833E+02   2.248473E+04
       0.240000   4.968974E+02   2.081399E+04
       0.250000   4.640928E+02   1.943988E+04
       0.260000   4.369309E+02   1.830212E+04
       0.270000   4.142116E+02   1.735045E+04
       0.280000   3.949677E+02   1.654437E+04
       0.290000   3.784365E+02   1.585191E+04
       0.300000   3.640249E+02   1.524824E+04
       0.310000   3.512761E+02   1.471422E+04
       0.320000   3.398395E+02   1.423516E+04
       0.330000   3.294472E+02   1.379985E+04
       0.340000   3.198941E+02   1.339969E+04
       0.350000   3.110232E+02   1.302811E+04
       0.360000   3.027142E+02   1.268006E+04
       0.370000   2.948746E+02   1.235168E+04
       0.380000   2.874338E+02   1.204000E+04
       0.390000   2.803378E+02   1.174276E+04
       0.400000   2.735463E+02   1.145828E+04
       0.410000   2.670300E+02   1.118533E+04
       0.420000   2.607696E+02   1.092309E+04
       0.430000   2.547545E+02   1.067113E+04
       0.440000   2.489832E+02   1.042938E+04
       0.450000   2.434634E+02   1.019817E+04
       0.460000   2.382128E+02   9.978235E+03
       0.470000   2.332598E+02   9.770762E+03
       0.480000   2.286440E+02   9.577418E+03
       0.490000   2.244162E+02   9.400323E+03
       0.500000   2.206351E+02   9.241942E+03
       0.510000   2.173619E+02   9.104834E+03
       0.520000   2.146492E+02   8.991205E+03
       0.530000   2.125257E+02   8.902255E+03
       0.540000   2.109776E+02   8.837409E+03
       0.550000   2.099335E+02   8.793673E+03
       0.560000   2.092597E+02   8.765449E+03
       0.570000   2.087733E+02   8.745075E+03
       0.580000   2.082719E+02   8.724071E+03
       0.590000   2.075708E+02   8.694706E+03
       0.600000   2.065341E+02   8.651280E+03
       0.610000   2.050883E+02   8.590719E+03
       0.620000   2.032193E+02   8.512431E+03
       0.630000   2.009576E+02   8.417692E+03
       0.640000   1.983599E+02   8.308882E+03
       0.650000   1.954941E+02   8.188838E+03
       0.660000   1.924281E+02   8.060408E+03
       0.670000   1.892244E+02   7.926213E+03
       0.680000   1.859382E+02   7.788560E+03
       0.690000   1.826174E+02   7.649458E+03
       0.700000   1.793045E+02   7.510688E+03
       0.710000   1.760387E+02   7.373892E+03
       0.720000   1.728586E+02   7.240683E+03
       0.730000   1.698039E+02   7.112729E+03
       0.740000   1.669177E+02   6.991831E+03
       0.750000   1.642467E+02   6.879948E+03
       0.760000   1.618405E+02   6.779157E+03
       0.770000   1.597481E+02   6.691514E+03
       0.780000   1.580119E+02   6.618789E+03
       0.790000   1.566585E+02   6.562095E+03
       0.800000   1.556889E+02   6.521483E+03
       0.810000   1.550721E+02   6.495645E+03
       0.820000   1.547440E+02   6.481903E+03
       0.830000   1.546162E+02   6.476548E+03
       0.840000   1.545899E+02   6.475448E+03
       0.850000   1.545722E+02   6.474706E+03
