 #calculated the component:  1  2  3
 #tolerance:    2.000000E-03
 #broadening:    1.837465E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.072773E+02eV    3.942368E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -8.092243E+02  -3.389671E+04
       0.020000  -8.089759E+02  -3.388630E+04
       0.030000  -7.595422E+02  -3.181563E+04
       0.040000  -6.275011E+02  -2.628470E+04
       0.050000  -3.752218E+02  -1.571725E+04
       0.060000   1.606926E+01   6.731076E+02
       0.070000   5.110523E+02   2.140691E+04
       0.080000   1.012507E+03   4.241178E+04
       0.090000   1.412925E+03   5.918447E+04
       0.100000   1.654352E+03   6.929735E+04
       0.110000   1.732060E+03   7.255236E+04
       0.120000   1.663619E+03   6.968551E+04
       0.130000   1.472759E+03   6.169077E+04
       0.140000   1.197956E+03   5.017988E+04
       0.150000   8.992278E+02   3.766677E+04
       0.160000   6.372583E+02   2.669342E+04
       0.170000   4.436575E+02   1.858388E+04
       0.180000   3.172195E+02   1.328766E+04
       0.190000   2.409983E+02   1.009491E+04
       0.200000   1.971535E+02   8.258346E+03
       0.210000   1.725008E+02   7.225698E+03
       0.220000   1.586596E+02   6.645916E+03
       0.230000   1.506823E+02   6.311766E+03
       0.240000   1.457600E+02   6.105580E+03
       0.250000   1.423345E+02   5.962095E+03
       0.260000   1.395584E+02   5.845810E+03
       0.270000   1.369814E+02   5.737863E+03
       0.280000   1.343728E+02   5.628596E+03
       0.290000   1.316223E+02   5.513380E+03
       0.300000   1.286835E+02   5.390281E+03
       0.310000   1.255436E+02   5.258760E+03
       0.320000   1.222064E+02   5.118969E+03
       0.330000   1.186831E+02   4.971385E+03
       0.340000   1.149892E+02   4.816656E+03
       0.350000   1.111446E+02   4.655614E+03
       0.360000   1.071772E+02   4.489428E+03
       0.370000   1.031318E+02   4.319975E+03
       0.380000   9.908620E+01   4.150513E+03
       0.390000   9.517932E+01   3.986862E+03
       0.400000   9.165679E+01   3.839311E+03
       0.410000   8.893468E+01   3.725287E+03
       0.420000   8.765839E+01   3.671826E+03
