 #calculated the component:  1  2  3
 #tolerance:    3.674931E-03
 #broadening:    3.674931E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    1.072773E+02eV    3.942369E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -1.678699E+02  -7.031719E+03
       0.020000  -1.347587E+02  -5.644758E+03
       0.030000  -9.210937E+01  -3.858268E+03
       0.040000  -3.988710E+01  -1.670787E+03
       0.050000   2.072234E+01   8.680155E+02
       0.060000   8.704467E+01   3.646119E+03
       0.070000   1.549817E+02   6.491857E+03
       0.080000   2.195119E+02   9.194891E+03
       0.090000   2.755430E+02   1.154192E+04
       0.100000   3.188531E+02   1.335609E+04
       0.110000   3.468194E+02   1.452754E+04
       0.120000   3.587588E+02   1.502765E+04
       0.130000   3.558605E+02   1.490625E+04
       0.140000   3.407934E+02   1.427512E+04
       0.150000   3.171004E+02   1.328267E+04
       0.160000   2.885148E+02   1.208528E+04
       0.170000   2.583567E+02   1.082202E+04
       0.180000   2.291452E+02   9.598410E+03
       0.190000   2.024765E+02   8.481316E+03
       0.200000   1.791226E+02   7.503070E+03
       0.210000   1.592449E+02   6.670434E+03
       0.220000   1.426263E+02   5.974316E+03
       0.230000   1.288620E+02   5.397761E+03
       0.240000   1.174905E+02   4.921429E+03
       0.250000   1.080692E+02   4.526790E+03
       0.260000   1.002120E+02   4.197671E+03
       0.270000   9.360152E+01   3.920771E+03
       0.280000   8.798817E+01   3.685640E+03
       0.290000   8.318368E+01   3.484390E+03
       0.300000   7.905253E+01   3.311345E+03
       0.310000   7.550352E+01   3.162684E+03
       0.320000   7.248180E+01   3.036110E+03
       0.330000   6.996102E+01   2.930520E+03
       0.340000   6.793456E+01   2.845636E+03
       0.350000   6.640477E+01   2.781556E+03
       0.360000   6.536952E+01   2.738192E+03
       0.370000   6.480714E+01   2.714635E+03
       0.380000   6.466270E+01   2.708585E+03
       0.390000   6.484142E+01   2.716071E+03
       0.400000   6.521395E+01   2.731675E+03
       0.410000   6.563484E+01   2.749306E+03
       0.420000   6.596863E+01   2.763287E+03
       0.430000   6.611365E+01   2.769362E+03
       0.440000   6.601521E+01   2.765239E+03
       0.450000   6.566559E+01   2.750594E+03
       0.460000   6.509431E+01   2.726664E+03
       0.470000   6.435398E+01   2.695653E+03
       0.480000   6.350642E+01   2.660151E+03
       0.490000   6.261116E+01   2.622650E+03
       0.500000   6.171710E+01   2.585200E+03
       0.510000   6.085766E+01   2.549200E+03
       0.520000   6.004973E+01   2.515357E+03
       0.530000   5.929648E+01   2.483805E+03
       0.540000   5.859283E+01   2.454331E+03
       0.550000   5.793083E+01   2.426601E+03
       0.560000   5.730267E+01   2.400288E+03
       0.570000   5.670019E+01   2.375052E+03
       0.580000   5.611260E+01   2.350439E+03
       0.590000   5.552517E+01   2.325833E+03
       0.600000   5.492110E+01   2.300530E+03
       0.610000   5.428602E+01   2.273927E+03
       0.620000   5.361284E+01   2.245729E+03
       0.630000   5.290386E+01   2.216032E+03
       0.640000   5.216858E+01   2.185233E+03
       0.650000   5.141775E+01   2.153782E+03
       0.660000   5.065553E+01   2.121854E+03
       0.670000   4.987279E+01   2.089067E+03
       0.680000   4.904435E+01   2.054365E+03
       0.690000   4.813252E+01   2.016170E+03
       0.700000   4.709730E+01   1.972807E+03
       0.710000   4.591057E+01   1.923098E+03
       0.720000   4.456956E+01   1.866925E+03
       0.730000   4.310426E+01   1.805547E+03
       0.740000   4.157554E+01   1.741512E+03
       0.750000   4.006365E+01   1.678182E+03
       0.760000   3.865058E+01   1.618992E+03
       0.770000   3.740201E+01   1.566692E+03
       0.780000   3.635465E+01   1.522820E+03
       0.790000   3.551206E+01   1.487526E+03
       0.800000   3.484880E+01   1.459743E+03
       0.810000   3.432036E+01   1.437608E+03
       0.820000   3.387546E+01   1.418972E+03
       0.830000   3.346752E+01   1.401884E+03
       0.840000   3.306284E+01   1.384933E+03
       0.850000   3.264441E+01   1.367406E+03
       0.860000   3.221230E+01   1.349306E+03
       0.870000   3.178216E+01   1.331288E+03
       0.880000   3.138299E+01   1.314567E+03
       0.890000   3.105431E+01   1.300800E+03
       0.900000   3.084198E+01   1.291906E+03
       0.910000   3.079246E+01   1.289832E+03
       0.920000   3.094588E+01   1.296258E+03
       0.930000   3.132904E+01   1.312308E+03
       0.940000   3.194950E+01   1.338297E+03
       0.950000   3.279185E+01   1.373582E+03
       0.960000   3.381675E+01   1.416513E+03
       0.970000   3.496353E+01   1.464549E+03
       0.980000   3.615678E+01   1.514532E+03
       0.990000   3.731673E+01   1.563119E+03
       1.000000   3.837128E+01   1.607292E+03
       1.010000   3.926691E+01   1.644809E+03
       1.020000   3.997568E+01   1.674498E+03
       1.030000   4.049748E+01   1.696354E+03
       1.040000   4.085767E+01   1.711442E+03
       1.050000   4.110126E+01   1.721646E+03
       1.060000   4.128463E+01   1.729327E+03
       1.069999   4.146666E+01   1.736951E+03
       1.079999   4.170093E+01   1.746765E+03
