 #calculated the component:  1  2  3
 #tolerance:    2.000000E-02
 #broadening:    3.675000E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    8.462793E+01eV    3.110019E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.010000  -5.709386E+02  -2.391542E+04
       0.020000  -4.491262E+02  -1.881296E+04
       0.030000  -2.924567E+02  -1.225040E+04
       0.040000  -1.008236E+02  -4.223289E+03
       0.050000   1.214146E+02   5.085804E+03
       0.060000   3.644623E+02   1.526656E+04
       0.070000   6.133307E+02   2.569113E+04
       0.080000   8.496754E+02   3.559112E+04
       0.090000   1.054915E+03   4.418817E+04
       0.100000   1.213665E+03   5.083788E+04
       0.110000   1.316397E+03   5.514112E+04
       0.120000   1.360670E+03   5.699563E+04
       0.130000   1.350876E+03   5.658536E+04
       0.140000   1.296797E+03   5.432009E+04
       0.150000   1.211385E+03   5.074239E+04
       0.160000   1.108270E+03   4.642309E+04
       0.170000   9.995496E+02   4.186904E+04
       0.180000   8.943911E+02   3.746417E+04
       0.190000   7.985905E+02   3.345128E+04
       0.200000   7.149387E+02   2.994728E+04
       0.210000   6.440046E+02   2.697600E+04
       0.220000   5.849799E+02   2.450358E+04
       0.230000   5.363732E+02   2.246755E+04
       0.240000   4.964834E+02   2.079665E+04
       0.250000   4.636749E+02   1.942237E+04
       0.260000   4.365089E+02   1.828444E+04
       0.270000   4.137855E+02   1.733260E+04
       0.280000   3.945374E+02   1.652634E+04
       0.290000   3.780018E+02   1.583370E+04
       0.300000   3.635859E+02   1.522985E+04
       0.310000   3.508326E+02   1.469564E+04
       0.320000   3.393915E+02   1.421640E+04
       0.330000   3.289945E+02   1.378089E+04
       0.340000   3.194367E+02   1.338053E+04
       0.350000   3.105610E+02   1.300875E+04
       0.360000   3.022470E+02   1.266049E+04
       0.370000   2.944024E+02   1.233190E+04
       0.380000   2.869565E+02   1.202000E+04
       0.390000   2.798553E+02   1.172255E+04
       0.400000   2.730584E+02   1.143784E+04
       0.410000   2.665366E+02   1.116466E+04
       0.420000   2.602706E+02   1.090219E+04
       0.430000   2.542498E+02   1.064999E+04
       0.440000   2.484727E+02   1.040800E+04
       0.450000   2.429469E+02   1.017654E+04
       0.460000   2.376902E+02   9.956344E+03
       0.470000   2.327309E+02   9.748609E+03
       0.480000   2.281088E+02   9.554997E+03
       0.490000   2.238744E+02   9.377628E+03
       0.500000   2.200866E+02   9.218965E+03
       0.510000   2.168065E+02   9.081569E+03
       0.520000   2.140868E+02   8.967645E+03
       0.530000   2.119560E+02   8.878392E+03
       0.540000   2.104005E+02   8.813235E+03
       0.550000   2.093488E+02   8.769180E+03
       0.560000   2.086672E+02   8.740629E+03
       0.570000   2.081727E+02   8.719919E+03
       0.580000   2.076631E+02   8.698572E+03
       0.590000   2.069537E+02   8.668854E+03
       0.600000   2.059083E+02   8.625067E+03
