#K-Path      Energy-Level
# NKPTS & NBANDS: 160  24
# Band-Index    1
   0.00000    -14.330737
   0.02195    -14.329476
   0.04391    -14.325694
   0.06586    -14.319397
   0.08782    -14.310593
   0.10977    -14.299293
   0.13173    -14.285513
   0.15368    -14.269268
   0.17564    -14.250580
   0.19759    -14.229477
   0.21954    -14.205987
   0.24150    -14.180142
   0.26345    -14.151982
   0.28541    -14.121549
   0.30736    -14.088886
   0.32932    -14.054049
   0.35127    -14.017093
   0.37323    -13.978084
   0.39518    -13.937088
   0.41713    -13.894186
   0.43909    -13.849460
   0.46104    -13.803002
   0.48300    -13.754909
   0.50495    -13.705295
   0.52691    -13.654275
   0.54886    -13.601982
   0.57082    -13.548554
   0.59277    -13.494146
   0.61472    -13.438919
   0.63668    -13.383055
   0.65863    -13.326748
   0.68059    -13.270202
   0.70254    -13.213640
   0.72450    -13.157296
   0.74645    -13.101424
   0.76840    -13.046285
   0.79036    -12.992158
   0.81231    -12.939327
   0.83427    -12.888089
   0.85622    -12.838771
   0.85622    -12.838771
   0.87424    -12.838514
   0.89226    -12.837744
   0.91027    -12.836467
   0.92829    -12.834688
   0.94631    -12.832418
   0.96433    -12.829667
   0.98234    -12.826452
   1.00036    -12.822791
   1.01838    -12.818705
   1.03639    -12.814216
   1.05441    -12.809348
   1.07243    -12.804132
   1.09045    -12.798596
   1.10846    -12.792773
   1.12648    -12.786698
   1.14450    -12.780407
   1.16252    -12.773938
   1.18053    -12.767331
   1.19855    -12.760627
   1.21657    -12.753869
   1.23458    -12.747102
   1.25260    -12.740364
   1.27062    -12.733708
   1.28864    -12.727174
   1.30665    -12.720807
   1.32467    -12.714653
   1.34269    -12.708751
   1.36071    -12.703148
   1.37872    -12.697879
   1.39674    -12.692985
   1.41476    -12.688502
   1.43277    -12.684462
   1.45079    -12.680897
   1.46881    -12.677833
   1.48683    -12.675295
   1.50484    -12.673299
   1.52286    -12.671862
   1.54088    -12.670995
   1.55889    -12.670706
   1.55889    -12.670706
   1.58085    -12.672257
   1.60280    -12.676890
   1.62476    -12.684546
   1.64671    -12.695130
   1.66867    -12.708508
   1.69062    -12.724519
   1.71258    -12.742981
   1.73453    -12.763680
   1.75648    -12.786397
   1.77844    -12.810893
   1.80039    -12.836924
   1.82235    -12.864249
   1.84430    -12.892623
   1.86626    -12.921805
   1.88821    -12.951564
   1.91017    -12.981674
   1.93212    -13.011922
   1.95407    -13.042103
   1.97603    -13.072024
   1.99798    -13.101504
   2.01994    -13.130377
   2.04189    -13.158486
   2.06385    -13.185686
   2.08580    -13.211841
   2.10776    -13.236835
   2.12971    -13.260550
   2.15166    -13.282886
   2.17362    -13.303755
   2.19557    -13.323069
   2.21753    -13.340757
   2.23948    -13.356752
   2.26144    -13.370997
   2.28339    -13.383442
   2.30535    -13.394042
   2.32730    -13.402764
   2.34925    -13.409576
   2.37121    -13.414457
   2.39316    -13.417393
   2.41512    -13.418372
   2.41512    -13.418372
   2.43313    -13.454908
   2.45115    -13.491572
   2.46917    -13.528245
   2.48719    -13.564842
   2.50520    -13.601279
   2.52322    -13.637475
   2.54124    -13.673352
   2.55926    -13.708834
   2.57727    -13.743848
   2.59529    -13.778325
   2.61331    -13.812197
   2.63132    -13.845398
   2.64934    -13.877870
   2.66736    -13.909554
   2.68538    -13.940395
   2.70339    -13.970341
   2.72141    -13.999342
   2.73943    -14.027354
   2.75744    -14.054332
   2.77546    -14.080234
   2.79348    -14.105025
   2.81150    -14.128667
   2.82951    -14.151125
   2.84753    -14.172369
   2.86555    -14.192371
   2.88357    -14.211105
   2.90158    -14.228545
   2.91960    -14.244670
   2.93762    -14.259459
   2.95563    -14.272893
   2.97365    -14.284957
   2.99167    -14.295635
   3.00969    -14.304915
   3.02770    -14.312786
   3.04572    -14.319240
   3.06374    -14.324266
   3.08176    -14.327859
   3.09977    -14.330017
   3.11779    -14.330737
 
 
# Band-Index    2
   3.11779    -12.675452
   3.09977    -12.675820
   3.08176    -12.676927
   3.06374    -12.678782
   3.04572    -12.681397
   3.02770    -12.684790
   3.00969    -12.688984
   2.99167    -12.694004
   2.97365    -12.699882
   2.95563    -12.706652
   2.93762    -12.714350
   2.91960    -12.723017
   2.90158    -12.732689
   2.88357    -12.743405
   2.86555    -12.755206
   2.84753    -12.768131
   2.82951    -12.782215
   2.81150    -12.797487
   2.79348    -12.813977
   2.77546    -12.831708
   2.75744    -12.850697
   2.73943    -12.870954
   2.72141    -12.892481
   2.70339    -12.915273
   2.68538    -12.939317
   2.66736    -12.964591
   2.64934    -12.991066
   2.63132    -13.018704
   2.61331    -13.047461
   2.59529    -13.077281
   2.57727    -13.108106
   2.55926    -13.139870
   2.54124    -13.172500
   2.52322    -13.205921
   2.50520    -13.240051
   2.48719    -13.274807
   2.46917    -13.310102
   2.45115    -13.345849
   2.43313    -13.381959
   2.41512    -13.418310
   2.41512    -13.418310
   2.39316    -13.417331
   2.37121    -13.414396
   2.34925    -13.409515
   2.32730    -13.402702
   2.30535    -13.393980
   2.28339    -13.383380
   2.26144    -13.370935
   2.23948    -13.356690
   2.21753    -13.340695
   2.19557    -13.323007
   2.17362    -13.303692
   2.15166    -13.282824
   2.12971    -13.260487
   2.10776    -13.236772
   2.08580    -13.211778
   2.06385    -13.185623
   2.04189    -13.158423
   2.01994    -13.130313
   1.99798    -13.101440
   1.97603    -13.071960
   1.95407    -13.042039
   1.93212    -13.011857
   1.91017    -12.981609
   1.88821    -12.951499
   1.86626    -12.921739
   1.84430    -12.892558
   1.82235    -12.864183
   1.80039    -12.836858
   1.77844    -12.810826
   1.75648    -12.786331
   1.73453    -12.763614
   1.71258    -12.742914
   1.69062    -12.724452
   1.66867    -12.708441
   1.64671    -12.695062
   1.62476    -12.684479
   1.60280    -12.676822
   1.58085    -12.672190
