 #calculated the component:  1  1  1
 #tolerance:    2.000000E-03
 #broadening:    3.674931E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    5.183802E+01eV    1.905012E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050000  -3.987138E-02  -1.670129E+00
       0.100000  -4.287806E-02  -1.796072E+00
       0.150000  -4.614170E-02  -1.932779E+00
       0.200000  -4.966646E-02  -2.080424E+00
       0.250000  -5.344157E-02  -2.238555E+00
       0.300000  -5.742954E-02  -2.405603E+00
       0.350000  -6.154561E-02  -2.578017E+00
       0.400000  -6.562169E-02  -2.748755E+00
       0.450000  -6.934158E-02  -2.904573E+00
       0.500000  -7.212147E-02  -3.021017E+00
       0.550000  -7.288230E-02  -3.052887E+00
       0.600000  -6.959961E-02  -2.915382E+00
       0.650000  -5.837573E-02  -2.445237E+00
       0.700000  -3.144602E-02  -1.317208E+00
       0.750000   2.722498E-02   1.140397E+00
       0.800000   1.512885E-01   6.337160E+00
       0.850000   4.049801E-01   1.696377E+01
       0.900000   8.398990E-01   3.518161E+01
       0.950000   1.165478E+00   4.881943E+01
       1.000000   7.261501E-01   3.041690E+01
       1.050000  -9.240723E-01  -3.870745E+01
       1.099999  -3.378525E+00  -1.415193E+02
       1.149999  -4.064991E+00  -1.702739E+02
       1.199999  -3.066864E+00  -1.284645E+02
       1.249999  -2.727686E+00  -1.142570E+02
       1.299999  -3.505937E+00  -1.468563E+02
       1.349999  -5.579497E+00  -2.337134E+02
       1.399999  -8.055527E+00  -3.374291E+02
       1.449999  -9.276507E+00  -3.885734E+02
       1.499999  -1.066825E+01  -4.468705E+02
       1.549999  -1.129487E+01  -4.731185E+02
       1.599999  -8.459980E+00  -3.543708E+02
       1.649999  -4.463529E+00  -1.869679E+02
       1.699999  -7.248313E-01  -3.036166E+01
       1.749999   1.492687E+00   6.252552E+01
       1.799999   1.405558E+00   5.887587E+01
       1.849999   2.488138E-01   1.042229E+01
       1.899999  -7.043004E-01  -2.950167E+01
       1.949999  -1.171278E+00  -4.906237E+01
       1.999999  -7.143696E-01  -2.992344E+01
       2.049999   1.842259E+00   7.716837E+01
       2.099999   5.633628E+00   2.359808E+02
       2.149999   7.155683E+00   2.997365E+02
       2.199999   6.850689E+00   2.869610E+02
       2.249999   6.359924E+00   2.664039E+02
       2.299999   4.832531E+00   2.024246E+02
       2.349999   2.386265E+00   9.995565E+01
       2.399999  -3.043383E-01  -1.274809E+01
       2.449999  -2.470765E+00  -1.034951E+02
       2.499999  -3.488030E+00  -1.461062E+02
       2.549999  -3.439108E+00  -1.440570E+02
