 #calculated the component:  1  1  1
 #tolerance:    2.000000E-03
 #broadening:    3.674931E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    5.391218E+01eV    1.981236E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050000  -3.924800E-02  -1.644016E+00
       0.100000  -4.220243E-02  -1.767771E+00
       0.150000  -4.540694E-02  -1.902001E+00
       0.200000  -4.886436E-02  -2.046826E+00
       0.250000  -5.256235E-02  -2.201726E+00
       0.300000  -5.646135E-02  -2.365048E+00
       0.350000  -6.047402E-02  -2.533130E+00
       0.400000  -6.442889E-02  -2.698791E+00
       0.450000  -6.800538E-02  -2.848603E+00
       0.500000  -7.061384E-02  -2.957866E+00
       0.550000  -7.116737E-02  -2.981052E+00
       0.600000  -6.763085E-02  -2.832914E+00
       0.650000  -5.609201E-02  -2.349577E+00
       0.700000  -2.876627E-02  -1.204959E+00
       0.750000   3.040869E-02   1.273756E+00
       0.800000   1.551195E-01   6.497630E+00
       0.850000   4.096578E-01   1.715971E+01
       0.900000   8.458318E-01   3.543012E+01
       0.950000   1.174077E+00   4.917962E+01
       1.000000   7.409778E-01   3.103800E+01
       1.050000  -8.970773E-01  -3.757669E+01
       1.099999  -3.336666E+00  -1.397659E+02
       1.149999  -4.021587E+00  -1.684558E+02
       1.199999  -3.035429E+00  -1.271477E+02
       1.249999  -2.706854E+00  -1.133844E+02
       1.299999  -3.489566E+00  -1.461706E+02
       1.349999  -5.561401E+00  -2.329554E+02
       1.399999  -8.030744E+00  -3.363910E+02
       1.449999  -9.243208E+00  -3.871786E+02
       1.499999  -1.062623E+01  -4.451105E+02
       1.549999  -1.124732E+01  -4.711266E+02
       1.599999  -8.412538E+00  -3.523836E+02
       1.649999  -4.416980E+00  -1.850180E+02
       1.699999  -6.802079E-01  -2.849248E+01
       1.749999   1.532207E+00   6.418093E+01
       1.799999   1.439489E+00   6.029717E+01
       1.849999   2.811573E-01   1.177709E+01
       1.899999  -6.716685E-01  -2.813478E+01
       1.949999  -1.144403E+00  -4.793665E+01
       1.999999  -6.964458E-01  -2.917265E+01
       2.049999   1.852718E+00   7.760646E+01
       2.099999   5.639056E+00   2.362082E+02
       2.149999   7.156719E+00   2.997800E+02
       2.199999   6.845552E+00   2.867458E+02
       2.249999   6.350317E+00   2.660014E+02
       2.299999   4.825520E+00   2.021309E+02
       2.349999   2.387156E+00   9.999295E+01
       2.399999  -2.960228E-01  -1.239978E+01
       2.449999  -2.458956E+00  -1.030005E+02
       2.499999  -3.475754E+00  -1.455920E+02
       2.549999  -3.427914E+00  -1.435881E+02
       2.599999  -2.557550E+00  -1.071304E+02
       2.649999  -7.892000E-01  -3.305793E+01
       2.699999   3.505556E-01   1.468404E+01
       2.749999   4.604169E-02   1.928590E+00
       2.799999   1.225111E+00   5.131731E+01
       2.849999   3.379210E+00   1.415480E+02
       2.899999   4.327956E+00   1.812890E+02
       2.949999   4.368264E+00   1.829774E+02
       2.999999   3.603425E+00   1.509399E+02
       3.049999   2.497363E+00   1.046093E+02
       3.099999   2.567796E+00   1.075596E+02
       3.149999   3.700501E+00   1.550062E+02
       3.199998   4.486766E+00   1.879412E+02
       3.249998   4.765023E+00   1.995968E+02
       3.299998   4.330289E+00   1.813867E+02
       3.349998   4.297578E+00   1.800165E+02
       3.399998   4.683050E+00   1.961631E+02
       3.449998   4.849020E+00   2.031153E+02
       3.499998   4.621389E+00   1.935803E+02
       3.549998   3.838944E+00   1.608053E+02
       3.599998   3.176279E+00   1.330477E+02
       3.649998   3.267032E+00   1.368491E+02
       3.699998   3.232298E+00   1.353942E+02
       3.749998   2.416632E+00   1.012276E+02
       3.799998   1.270229E+00   5.320724E+01
       3.849998   4.352274E-01   1.823076E+01
       3.899998   1.515190E-01   6.346813E+00
       3.949998  -2.848171E-01  -1.193039E+01
       3.999998  -6.756064E-01  -2.829973E+01
       4.049998  -8.033043E-01  -3.364873E+01
       4.099998  -9.957346E-01  -4.170923E+01
       4.149998  -9.542388E-01  -3.997106E+01
       4.199998  -6.396417E-01  -2.679325E+01
       4.249998  -2.119161E-01  -8.876720E+00
       4.299998  -1.647738E-01  -6.902030E+00
       4.349998  -5.136083E-01  -2.151398E+01
       4.399998  -6.413576E-01  -2.686513E+01
       4.449998  -3.421763E-01  -1.433305E+01
       4.499998  -5.497935E-02  -2.302970E+00
       4.549998  -2.520691E-01  -1.055865E+01
       4.599998  -6.850586E-01  -2.869567E+01
       4.649998  -1.288226E+00  -5.396110E+01
       4.699998  -1.837575E+00  -7.697214E+01
       4.749998  -2.141637E+00  -8.970866E+01
       4.799998  -1.907066E+00  -7.988300E+01
       4.849998  -1.699429E+00  -7.118551E+01
       4.899998  -1.993419E+00  -8.350014E+01
       4.949998  -2.263835E+00  -9.482729E+01
       4.999998  -2.271283E+00  -9.513928E+01
       5.049998  -1.894915E+00  -7.937403E+01
       5.099998  -1.456278E+00  -6.100043E+01
       5.149998  -9.889638E-01  -4.142562E+01
       5.199998  -7.459797E-01  -3.124752E+01
       5.249998  -9.470972E-01  -3.967192E+01
       5.299998  -1.381373E+00  -5.786283E+01
       5.349997  -1.606983E+00  -6.731317E+01
       5.399997  -1.718904E+00  -7.200129E+01
       5.449997  -1.726839E+00  -7.233366E+01
       5.499997  -1.528784E+00  -6.403753E+01
       5.549997  -1.687556E+00  -7.068817E+01
       5.599997  -2.373356E+00  -9.941489E+01
       5.649997  -2.904660E+00  -1.216701E+02
       5.699997  -2.717510E+00  -1.138308E+02
       5.749997  -1.503653E+00  -6.298488E+01
       5.799997   1.721647E-01   7.211619E+00
       5.849997   9.385843E-01   3.931533E+01
       5.899997   4.416437E-01   1.849953E+01
       5.949997  -9.298313E-03  -3.894868E-01
