 #calculated the component:  1  1  1
 #tolerance:    2.000000E-03
 #broadening:    3.674931E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    5.183802E+01eV    1.905012E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050000  -4.270482E-01  -1.788815E+01
       0.100000  -4.475583E-01  -1.874728E+01
       0.150000  -4.696307E-01  -1.967184E+01
       0.200000  -4.934031E-01  -2.066762E+01
       0.250000  -5.190189E-01  -2.174061E+01
       0.300000  -5.466210E-01  -2.289681E+01
       0.350000  -5.763426E-01  -2.414178E+01
       0.400000  -6.082916E-01  -2.548006E+01
       0.450000  -6.425235E-01  -2.691396E+01
       0.500000  -6.790013E-01  -2.844194E+01
       0.550000  -7.175347E-01  -3.005602E+01
       0.600000  -7.577080E-01  -3.173880E+01
       0.650000  -7.988509E-01  -3.346219E+01
       0.700000  -8.403205E-01  -3.519926E+01
       0.750000  -8.832308E-01  -3.699669E+01
       0.800000  -9.384066E-01  -3.930788E+01
       0.850000  -1.059543E+00  -4.438202E+01
       0.900000  -1.446942E+00  -6.060937E+01
       0.950000  -2.449791E+00  -1.026166E+02
       1.000000  -3.906509E+00  -1.636355E+02
       1.050000  -5.156950E+00  -2.160138E+02
       1.099999  -4.691578E+00  -1.965204E+02
       1.149999  -2.617052E+00  -1.096228E+02
       1.199999  -1.983465E+00  -8.308320E+01
       1.249999  -2.727430E+00  -1.142463E+02
       1.299999  -3.823052E+00  -1.601396E+02
       1.349999  -4.373670E+00  -1.832039E+02
       1.399999  -3.155520E+00  -1.321781E+02
       1.449999  -1.130826E+00  -4.736792E+01
       1.499999   8.970563E-01   3.757581E+01
       1.549999   5.096376E+00   2.134765E+02
       1.599999   9.044882E+00   3.788712E+02
       1.649999   1.039142E+01   4.352748E+02
       1.699999   9.668043E+00   4.049740E+02
       1.749999   7.159880E+00   2.999123E+02
       1.799999   4.731527E+00   1.981937E+02
       1.849999   3.767356E+00   1.578066E+02
       1.899999   4.036304E+00   1.690723E+02
       1.949999   5.036913E+00   2.109857E+02
       1.999999   6.845840E+00   2.867579E+02
       2.049999   8.450422E+00   3.539705E+02
       2.099999   7.345834E+00   3.077016E+02
       2.149999   3.962109E+00   1.659645E+02
       2.199999   1.511423E+00   6.331034E+01
       2.249999  -6.765456E-01  -2.833908E+01
       2.299999  -2.836004E+00  -1.187943E+02
       2.349999  -3.989256E+00  -1.671015E+02
       2.399999  -3.859616E+00  -1.616712E+02
       2.449999  -2.399975E+00  -1.005299E+02
       2.499999  -2.747355E-01  -1.150809E+01
       2.549999   1.801959E+00   7.548029E+01
       2.599999   3.584556E+00   1.501495E+02
       2.649999   4.485247E+00   1.878776E+02
       2.699999   3.843910E+00   1.610133E+02
       2.749999   4.042704E+00   1.693404E+02
       2.799999   5.322002E+00   2.229275E+02
       2.849999   4.839260E+00   2.027065E+02
       2.899999   3.325849E+00   1.393128E+02
       2.949999   1.881682E+00   7.881972E+01
       2.999999   8.737481E-01   3.659947E+01
       3.049999   9.942090E-01   4.164533E+01
       3.099999   2.087655E+00   8.744747E+01
       3.149999   2.221156E+00   9.303954E+01
       3.199998   1.567549E+00   6.566136E+01
       3.249998   5.538945E-01   2.320148E+01
       3.299998  -6.637931E-02  -2.780490E+00
       3.349998  -8.722524E-02  -3.653682E+00
       3.399998  -4.796791E-01  -2.009275E+01
       3.449998  -1.285396E+00  -5.384253E+01
       3.499998  -2.218108E+00  -9.291189E+01
       3.549998  -2.902458E+00  -1.215779E+02
       3.599998  -2.809627E+00  -1.176894E+02
       3.649998  -2.829378E+00  -1.185167E+02
       3.699998  -3.593160E+00  -1.505099E+02
       3.749998  -4.363779E+00  -1.827895E+02
       3.799998  -4.498617E+00  -1.884376E+02
       3.849998  -4.031693E+00  -1.688792E+02
       3.899998  -3.646675E+00  -1.527516E+02
