 #calculated the component:  1  2  2
 #tolerance:    3.674931E-03
 #broadening:    3.674931E-04Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    4.775522E+01eV    1.754972E+00Ha
 # Energy      Tot-Im Chi(-2w,w,w)  Tot-Im Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050000  -3.113315E-03  -1.304103E-01
       0.100000  -3.702478E-03  -1.550891E-01
       0.150000  -4.410981E-03  -1.847667E-01
       0.200000  -5.268611E-03  -2.206910E-01
       0.250000  -6.314416E-03  -2.644977E-01
       0.300000  -7.600259E-03  -3.183589E-01
       0.350000  -9.196018E-03  -3.852019E-01
       0.400000  -1.119736E-02  -4.690340E-01
       0.450000  -1.373761E-02  -5.754398E-01
       0.500000  -1.700624E-02  -7.123559E-01
       0.550000  -2.127831E-02  -8.913037E-01
       0.600000  -2.696218E-02  -1.129389E+00
       0.650000  -3.467722E-02  -1.452556E+00
       0.700000  -4.537525E-02  -1.900674E+00
       0.750000  -6.048900E-02  -2.533757E+00
       0.800000  -8.180011E-02  -3.426435E+00
       0.850000  -1.081280E-01  -4.529253E+00
       0.900000  -9.074326E-02  -3.801045E+00
       0.950000   2.386148E+00   9.995075E+01
       1.000000   2.582608E+00   1.081800E+02
       1.050000  -3.062909E+01  -1.282988E+03
       1.099999  -2.825503E+01  -1.183544E+03
       1.149999  -1.999597E+01  -8.375894E+02
       1.199999  -1.888815E+00  -7.911851E+01
       1.249999  -7.039393E+00  -2.948654E+02
       1.299999   7.582112E+00   3.175988E+02
       1.349999  -1.517149E+00  -6.355018E+01
       1.399999  -6.734619E+00  -2.820991E+02
       1.449999  -8.914650E-02  -3.734160E+00
       1.499999  -9.106062E+00  -3.814338E+02
       1.549999   5.350650E+00   2.241275E+02
       1.599999   1.100872E+01   4.611324E+02
       1.649999   7.922825E+00   3.318705E+02
       1.699999   7.104520E+00   2.975934E+02
       1.749999   1.283883E+01   5.377916E+02
       1.799999   1.221226E+01   5.115459E+02
       1.849999  -2.822871E+00  -1.182441E+02
       1.899999   1.667493E+00   6.984778E+01
       1.949999  -3.101579E+00  -1.299186E+02
       1.999999  -2.716319E+00  -1.137809E+02
       2.049999   9.682197E-01   4.055669E+01
       2.099999  -4.319163E+00  -1.809207E+02
       2.149999   1.816119E+01   7.607341E+02
       2.199999   6.884361E+00   2.883714E+02
       2.249999   1.202356E+01   5.036417E+02
       2.299999   4.918794E+00   2.060379E+02
       2.349999   5.818646E+00   2.437309E+02
       2.399999   5.360460E+00   2.245384E+02
       2.449999   1.681224E+01   7.042293E+02
       2.499999   2.660628E+01   1.114481E+03
       2.549999   2.342700E+01   9.813077E+02
