 #calculated the component:  1  2  2
 #tolerance:    2.000000E-03
 #broadening:    7.349862E-04Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    5.176377E+01eV    1.902284E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050000  -1.147314E-01  -4.805859E+00
       0.100000  -1.442537E-01  -6.042485E+00
       0.150000  -1.786361E-01  -7.482691E+00
       0.200000  -2.188698E-01  -9.167998E+00
       0.250000  -2.662052E-01  -1.115078E+01
       0.300000  -3.222372E-01  -1.349784E+01
       0.350000  -3.890265E-01  -1.629551E+01
       0.400000  -4.692739E-01  -1.965690E+01
       0.450000  -5.665755E-01  -2.373266E+01
       0.500000  -6.858079E-01  -2.872705E+01
       0.550000  -8.337211E-01  -3.492283E+01
       0.600000  -1.019880E+00  -4.272061E+01
       0.650000  -1.258199E+00  -5.270333E+01
       0.700000  -1.569532E+00  -6.574441E+01
       0.750000  -1.986082E+00  -8.319281E+01
       0.800000  -2.558708E+00  -1.071789E+02
       0.850000  -3.365531E+00  -1.409750E+02
       0.900000  -4.490348E+00  -1.880913E+02
       0.950000  -7.790990E+00  -3.263482E+02
       1.000000  -1.681906E+01  -7.045153E+02
       1.050000  -3.516430E+01  -1.472959E+03
       1.099999   5.189598E+00   2.173814E+02
       1.149999   3.807434E+01   1.594854E+03
       1.199999   2.814532E+01   1.178948E+03
       1.249999   3.087856E+01   1.293438E+03
       1.299999   4.774677E+00   2.000012E+02
       1.349999  -3.740555E+00  -1.566840E+02
       1.399999  -1.081237E+01  -4.529076E+02
       1.449999  -2.414597E+00  -1.011424E+02
       1.499999   1.028614E+01   4.308648E+02
       1.549999   1.885130E+01   7.896412E+02
       1.599999   1.256118E+01   5.261613E+02
       1.649999  -7.433631E-01  -3.113792E+01
       1.699999   9.902872E+00   4.148105E+02
       1.749999   1.159994E+01   4.858973E+02
       1.799999   4.668807E+00   1.955665E+02
       1.849999   7.294894E+00   3.055678E+02
       1.899999   3.954950E+00   1.656646E+02
       1.949999  -1.042450E+01  -4.366606E+02
       1.999999   1.336229E-01   5.597182E+00
       2.049999   2.264093E+01   9.483810E+02
       2.099999   6.988076E-01   2.927158E+01
       2.149999   1.757110E+01   7.360165E+02
       2.199999   6.747629E+00   2.826440E+02
       2.249999  -1.706355E+00  -7.147565E+01
       2.299999   1.071711E+00   4.489172E+01
       2.349999   1.248366E+01   5.229142E+02
       2.399999   1.842557E+00   7.718083E+01
       2.449999   1.353388E+01   5.669057E+02
