 #calculated the component:  1  2  2
 #tolerance:    3.674931E-03
 #broadening:    1.837465E-03Ha
 #scissors shift:    0.000000E+00Ha
 #energy window:    4.775522E+01eV    1.754972E+00Ha
 # Energy      Tot-Re Chi(-2w,w,w)  Tot-Re Chi(-2w,w,w)
 # eV          *10^-7 esu        *10^-12 m/V SI units 
 # 
       0.050000   8.073793E-02   3.381942E+00
       0.100000   6.400487E-02   2.681030E+00
       0.150000   4.410236E-02   1.847356E+00
       0.200000   2.038180E-02   8.537508E-01
       0.250000  -7.969144E-03  -3.338107E-01
       0.300000  -4.197791E-02  -1.758367E+00
       0.350000  -8.295838E-02  -3.474952E+00
       0.400000  -1.326112E-01  -5.554807E+00
       0.450000  -1.931682E-01  -8.091409E+00
       0.500000  -2.676023E-01  -1.120930E+01
       0.550000  -3.599433E-01  -1.507727E+01
       0.600000  -4.757581E-01  -1.992851E+01
       0.650000  -6.229045E-01  -2.609216E+01
       0.700000  -8.127434E-01  -3.404412E+01
       0.750000  -1.062159E+00  -4.449163E+01
       0.800000  -1.397221E+00  -5.852667E+01
       0.850000  -1.862443E+00  -7.801382E+01
       0.900000  -2.578510E+00  -1.080084E+02
       0.950000  -4.309574E+00  -1.805190E+02
       1.000000  -7.913445E+00  -3.314776E+02
       1.050000  -5.937264E+00  -2.486995E+02
       1.099999   3.093641E+00   1.295861E+02
       1.149999   8.609520E+00   3.606347E+02
       1.199999   9.738439E+00   4.079228E+02
       1.249999   1.084863E+01   4.544266E+02
       1.299999   8.517600E+00   3.567844E+02
       1.349999   7.701839E+00   3.226139E+02
       1.399999   8.616129E+00   3.609116E+02
       1.449999   8.936972E+00   3.743510E+02
       1.499999   1.041034E+01   4.360675E+02
       1.549999   1.125464E+01   4.714333E+02
       1.599999   9.289815E+00   3.891308E+02
       1.649999   6.572798E+00   2.753207E+02
       1.699999   6.216576E+00   2.603993E+02
       1.749999   3.550364E+00   1.487173E+02
       1.799999  -4.461437E-01  -1.868802E+01
       1.849999  -1.238861E+00  -5.189330E+01
       1.899999   6.764353E-01   2.833446E+01
       1.949999   1.076369E+00   4.508684E+01
       1.999999   3.019070E+00   1.264625E+02
       2.049999   6.530610E+00   2.735536E+02
       2.099999   8.909717E+00   3.732094E+02
       2.149999   6.598117E+00   2.763813E+02
       2.199999   3.793064E+00   1.588835E+02
       2.249999   3.413789E+00   1.429965E+02
       2.299999   3.526491E+00   1.477173E+02
       2.349999   4.869329E+00   2.039660E+02
       2.399999   6.179741E+00   2.588564E+02
       2.449999   6.987115E+00   2.926756E+02
       2.499999   2.270602E-01   9.511074E+00
       2.549999  -5.840205E+00  -2.446339E+02
       2.599999  -9.160534E+00  -3.837155E+02
       2.649999  -1.151685E+01  -4.824168E+02
       2.699999  -1.434362E+01  -6.008240E+02
       2.749999  -1.681582E+01  -7.043795E+02
       2.799999  -1.904562E+01  -7.977810E+02
       2.849999  -1.801231E+01  -7.544979E+02
       2.899999  -1.302423E+01  -5.455576E+02
       2.949999  -9.454940E+00  -3.960476E+02
       2.999999  -6.917922E+00  -2.897772E+02
       3.049999  -5.503690E+00  -2.305380E+02
       3.099999  -4.995955E+00  -2.092701E+02
       3.149999  -5.165732E+00  -2.163817E+02
       3.199998  -3.988810E+00  -1.670829E+02
       3.249998  -3.056811E+00  -1.280434E+02
       3.299998  -4.105423E+00  -1.719676E+02
       3.349998  -4.187958E+00  -1.754248E+02
       3.399998  -4.756164E+00  -1.992257E+02
       3.449998  -6.045532E+00  -2.532346E+02
       3.499998  -6.592559E+00  -2.761485E+02
       3.549998  -7.276213E+00  -3.047853E+02
       3.599998  -6.708766E+00  -2.810161E+02
       3.649998  -6.260717E+00  -2.622483E+02
       3.699998  -6.724495E+00  -2.816750E+02
       3.749998  -6.399453E+00  -2.680597E+02
       3.799998  -5.248314E+00  -2.198409E+02
       3.849998  -3.849840E+00  -1.612617E+02
       3.899998  -2.733667E+00  -1.145076E+02
       3.949998  -1.222552E+00  -5.121015E+01
       3.999998  -4.101964E-01  -1.718227E+01
       4.049998  -7.782253E-01  -3.259822E+01
       4.099998  -1.410518E+00  -5.908363E+01
       4.149998  -2.368323E+00  -9.920409E+01
       4.199998  -2.327638E+00  -9.749989E+01
       4.249998  -1.409480E+00  -5.904014E+01
       4.299998   6.612381E-01   2.769788E+01
       4.349998   4.258745E+00   1.783899E+02
       4.399998   4.515027E+00   1.891250E+02
       4.449998   3.733009E+00   1.563679E+02
       4.499998   6.293668E+00   2.636286E+02
       4.549998   5.559844E+00   2.328902E+02
       4.599998   4.882080E+00   2.045001E+02
       4.649998   4.281357E+00   1.793371E+02
       4.699998   2.941263E+00   1.232033E+02
       4.749998   6.187957E-01   2.592006E+01
       4.799998  -4.081359E-01  -1.709596E+01
       4.849998   2.043326E-01   8.559065E+00
       4.899998   6.237756E-01   2.612865E+01
       4.949998   9.590847E-01   4.017405E+01
       4.999998   1.170319E+00   4.902222E+01
       5.049998   1.282076E+00   5.370345E+01
       5.099998   1.709582E+00   7.161082E+01
       5.149998   1.399920E+00   5.863973E+01
       5.199998   8.825764E-01   3.696927E+01
       5.249998   3.352624E-01   1.404344E+01
       5.299998   5.330830E-01   2.232973E+01
       5.349997   9.641890E-01   4.038786E+01
       5.399997   1.522017E+00   6.375410E+01
       5.449997   2.913974E+00   1.220603E+02
       5.499997   4.981402E+00   2.086605E+02
       5.549997   4.441200E+00   1.860326E+02
       5.599997   3.459800E+00   1.449238E+02
       5.649997   3.243746E+00   1.358737E+02
       5.699997   2.991443E+00   1.253053E+02
       5.749997   2.412684E+00   1.010623E+02
       5.799997   1.670846E+00   6.998824E+01
       5.849997   1.109814E+00   4.648778E+01
       5.899997   9.685276E-01   4.056959E+01
       5.949997   1.011260E+00   4.235957E+01
