# Band structure: file generated from Abinit band.out file. #
# Eigenvalues (eV) for nkpt= 221 k points. #
# Format: total path length, kx, ky, kz, one or more energy eigenvalues. #
0.0 0.0 0.0 0.0 -61.00918 -60.22617 -27.79030 -26.71605 -25.51128 -25.26763 -24.53626 -23.86595
13.89728 14.89090 15.02738 15.62803 15.75756 16.25396 16.75935 16.76052
17.47372 18.13236 19.20814 19.52812 20.05255 20.51996 22.13937 22.86325
23.56915 24.51609 25.41328 25.42932 26.80901 34.91004 35.94058 36.15101
38.38867 39.45551 40.11747 41.83156 44.33623 44.43961 45.67412 47.21070
47.47397 52.60438 53.06701 56.18806 57.38574 58.00948
0.025 0.0 0.0 0.025 -61.00795 -60.22738 -27.78903 -26.71843 -25.51209 -25.26895 -24.53409 -23.86606
13.91318 14.90956 15.03327 15.63647 15.76299 16.25549 16.76442 16.76634
17.48143 18.13052 19.22289 19.51995 20.04779 20.51035 22.12545 22.86167
23.51289 24.54157 25.39664 25.39876 26.79418 34.96140 35.82303 36.14838
38.55862 39.39468 40.01706 41.93191 44.19016 44.51552 45.66667 47.14201
47.68121 52.57518 53.11895 56.09056 57.39818 57.95264
0.05 0.0 0.0 0.05 -61.00427 -60.23102 -27.78522 -26.72554 -25.51447 -25.27287 -24.52763 -23.86638
13.96024 14.96403 15.05147 15.66087 15.77947 16.26039 16.77964 16.78387
17.50421 18.12507 19.26685 19.49562 20.03359 20.48192 22.08336 22.85834
23.36630 24.59426 25.30241 25.35829 26.75143 35.10866 35.54778 36.13793
38.97811 39.24227 39.74969 42.16539 43.89024 44.72034 45.64267 46.95065
48.19954 52.49067 53.27010 55.82295 57.43410 57.80495
0.075 0.0 0.0 0.075 -60.99818 -60.23704 -27.77887 -26.73726 -25.51826 -25.27930 -24.51704 -23.86699
14.03657 15.04948 15.08342 15.69883 15.80763 16.26960 16.80520 16.81324
17.54108 18.11630 19.33875 19.45558 20.01063 20.43585 22.01355 22.85596
23.16757 24.63150 25.15731 25.30111 26.68569 35.18949 35.37226 36.11166
39.04718 39.21483 39.67622 42.32932 43.73825 44.99459 45.60053 46.68496
48.87278 52.36035 53.50547 55.43725 57.47343 57.62870
0.1 0.0 0.0 0.1 -60.98970 -60.24542 -27.77001 -26.75342 -25.52322 -25.28806 -24.50258 -23.86798
14.13892 15.13101 15.15724 15.74717 15.84861 16.28478 16.84174 16.85434
17.59030 18.10509 19.40032 19.43430 19.98205 20.37438 21.92008 22.85535
22.94449 24.62089 24.97707 25.24007 26.60419 34.88397 35.64617 36.05516
38.78860 38.83456 40.24983 42.23249 43.98162 45.19613 45.59580 46.44268
49.60365 52.20185 53.79744 54.98180 57.34680 57.64144
0.125 0.0 0.0 0.125 -60.97890 -60.25610 -27.75867 -26.77375 -25.52905 -25.29895 -24.48455 -23.86948
14.26259 15.19599 15.27435 15.80301 15.90348 16.30851 16.89055 16.90633
17.64931 18.09340 19.33019 19.53916 19.96060 20.30098 21.81194 22.71480
22.85333 24.55023 24.78060 25.18200 26.51483 34.59525 35.92973 35.94624
38.32848 38.61060 40.83917 42.03554 44.49019 45.09429 45.74859 46.38571
50.32082 52.05151 54.10234 54.49308 57.15287 57.75113
0.15 0.0 0.0 0.15 -60.96586 -60.26902 -27.74487 -26.79797 -25.53540 -25.31169 -24.46336 -23.87164
14.40145 15.27910 15.38507 15.86491 15.97099 16.34448 16.95353 16.96727
17.71443 18.08494 19.24580 19.60943 19.98846 20.22040 21.70197 22.49040
22.84285 24.43092 24.58869 25.12074 26.42416 34.34245 35.75538 36.07176
38.02477 38.38500 41.28552 41.92019 44.90261 45.08846 45.83829 46.62935
50.89942 52.01503 54.00138 54.35847 57.00466 57.42027
0.175 0.0 0.0 0.175 -60.95066 -60.28408 -27.72867 -26.82574 -25.54191 -25.32600 -24.43939 -23.87463
14.54848 15.37839 15.47594 15.93430 16.04372 16.39633 17.03185 17.03388
17.78055 18.08608 19.14954 19.59476 20.11466 20.13782 21.60442 22.27926
22.81497 24.28692 24.42246 25.04669 26.33568 34.12335 35.45359 35.88430
38.07123 38.18266 41.43420 41.94433 44.86381 45.69097 45.90440 47.04404
51.11061 52.28914 53.55146 54.49855 56.95519 57.04999
0.2 0.0 0.0 0.2 -60.93341 -60.30120 -27.71012 -26.85666 -25.54823 -25.34157 -24.41308 -23.87862
14.69671 15.48669 15.54112 16.01692 16.10976 16.46304 17.10152 17.12251
