#K-Path      Energy-Level
# NKPTS & NBANDS: 660  48
# Band-Index    1
   0.00000    -14.019154
   0.01301    -14.018866
   0.02603    -14.017999
   0.03904    -14.016552
   0.05205    -14.014529
   0.06507    -14.011932
   0.07808    -14.008762
   0.09109    -14.005021
   0.10411    -14.000715
   0.11712    -13.995851
   0.13013    -13.990432
   0.14315    -13.984463
   0.15616    -13.977947
   0.16917    -13.970897
   0.18218    -13.963314
   0.19520    -13.955211
   0.20821    -13.946596
   0.22122    -13.937470
   0.23424    -13.927854
   0.24725    -13.917752
   0.26026    -13.907175
   0.27328    -13.896134
   0.28629    -13.884645
   0.29930    -13.872718
   0.31232    -13.860366
   0.32533    -13.847605
   0.33834    -13.834444
   0.35136    -13.820898
   0.36437    -13.806984
   0.37738    -13.792719
   0.39040    -13.778115
   0.40341    -13.763188
   0.41642    -13.747959
   0.42944    -13.732442
   0.44245    -13.716654
   0.45546    -13.700616
   0.46848    -13.684348
   0.48149    -13.667860
   0.49450    -13.651175
   0.50751    -13.634313
   0.52053    -13.617292
   0.53354    -13.600126
   0.54655    -13.582840
   0.55957    -13.565450
   0.57258    -13.547971
   0.58559    -13.530424
   0.59861    -13.512829
   0.61162    -13.495201
   0.62463    -13.477559
   0.63765    -13.459915
   0.65066    -13.442288
   0.66367    -13.424693
   0.67669    -13.407143
   0.68970    -13.389651
   0.70271    -13.372232
   0.71573    -13.354894
   0.72874    -13.337649
   0.74175    -13.320507
   0.75477    -13.303475
   0.76778    -13.286557
   0.76778    -13.286557
   0.77165    -13.286560
   0.77552    -13.286565
   0.77939    -13.286571
   0.78325    -13.286582
   0.78712    -13.286595
   0.79099    -13.286610
   0.79486    -13.286628
   0.79873    -13.286649
   0.80260    -13.286672
   0.80647    -13.286697
   0.81034    -13.286727
   0.81421    -13.286761
   0.81807    -13.286797
   0.82194    -13.286837
   0.82581    -13.286881
   0.82968    -13.286929
   0.83355    -13.286981
   0.83742    -13.287036
   0.84129    -13.287096
   0.84516    -13.287161
   0.84903    -13.287230
   0.85290    -13.287303
   0.85676    -13.287382
   0.86063    -13.287468
   0.86450    -13.287558
   0.86837    -13.287653
   0.87224    -13.287752
   0.87611    -13.287860
   0.87998    -13.287973
   0.88385    -13.288093
   0.88772    -13.288219
   0.89159    -13.288353
   0.89545    -13.288494
   0.89932    -13.288643
   0.90319    -13.288799
   0.90706    -13.288964
   0.91093    -13.289137
   0.91480    -13.289319
   0.91867    -13.289511
   0.92254    -13.289711
   0.92641    -13.289920
   0.93027    -13.290141
   0.93414    -13.290368
   0.93801    -13.290607
   0.94188    -13.290856
   0.94575    -13.291116
   0.94962    -13.291387
   0.95349    -13.291670
   0.95736    -13.291964
   0.96123    -13.292270
   0.96510    -13.292587
   0.96896    -13.292917
   0.97283    -13.293259
   0.97670    -13.293616
   0.98057    -13.293983
   0.98444    -13.294363
   0.98831    -13.294757
   0.99218    -13.295165
   0.99605    -13.295586
   0.99605    -13.295586
   1.00251    -13.300823
   1.00898    -13.306005
   1.01544    -13.311130
   1.02191    -13.316197
   1.02838    -13.321202
   1.03484    -13.326146
   1.04131    -13.331025
   1.04777    -13.335840
   1.05424    -13.340587
   1.06071    -13.345265
   1.06717    -13.349872
   1.07364    -13.354408
   1.08010    -13.358871
   1.08657    -13.363261
   1.09304    -13.367573
   1.09950    -13.371808
   1.10597    -13.375964
   1.11243    -13.380040
   1.11890    -13.384034
   1.12537    -13.387947
   1.13183    -13.391773
   1.13830    -13.395516
   1.14476    -13.399173
   1.15123    -13.402742
   1.15770    -13.406223
   1.16416    -13.409614
   1.17063    -13.412916
   1.17709    -13.416125
   1.18356    -13.419243
   1.19003    -13.422267
   1.19649    -13.425197
   1.20296    -13.428032
   1.20942    -13.430771
   1.21589    -13.433413
   1.22236    -13.435958
   1.22882    -13.438407
   1.23529    -13.440755
   1.24175    -13.443003
   1.24822    -13.445150
   1.25469    -13.447197
   1.26115    -13.449142
   1.26762    -13.450985
   1.27408    -13.452725
   1.28055    -13.454363
   1.28701    -13.455897
   1.29348    -13.457327
   1.29995    -13.458653
   1.30641    -13.459874
   1.31288    -13.460989
   1.31934    -13.462000
   1.32581    -13.462906
   1.33228    -13.463706
   1.33874    -13.464399
   1.34521    -13.464988
   1.35167    -13.465468
   1.35814    -13.465842
   1.36461    -13.466109
   1.37107    -13.466270
   1.37754    -13.466322
   1.37754    -13.466322
