G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                             101         0.7677784958      0.0000000000      0.0000000000      0.5000000000
Y                             131         0.9960470686     -0.1486552268      0.1486552268      0.5000000000
S                             181         1.3775381937     -0.3243276134      0.3243276134      0.3243276134
G                             273         2.0818498303      0.0000000000      0.0000000000      0.0000000000
Z                             350         2.6738966259      0.5000000000      0.5000000000     -0.5000000000
S                             400         3.0553877510      0.3243276134      0.6756723866     -0.3243276134
N                             444         3.3925570300      0.0000000000      0.5000000000      0.0000000000
P                             515         3.9354584109      0.2500000000      0.2500000000      0.2500000000
Y                             564         4.3092717244      0.5000000000      0.5000000000     -0.1486552268
Z                             634         4.8487816474      0.5000000000      0.5000000000     -0.5000000000
X                             635         4.8487816474      0.0000000000      0.0000000000      0.5000000000
P                             674         5.1448050452      0.2500000000      0.2500000000      0.2500000000
